agreement	disagreement	correct_verb	incorrect_verb	subject_index	verb_index	number1	completed
De jongen herkent	De jongen herkennen	herkent	herkennen	1	2	singular	De jongen herkent de persoon publiekelijk.
De jongen herkent	De jongen herkennen	herkent	herkennen	1	2	singular	De jongen herkent de persoon openlijk.
De jongen herkent	De jongen herkennen	herkent	herkennen	1	2	singular	De jongen herkent de persoon waarschijnlijk.
De jongen herkent	De jongen herkennen	herkent	herkennen	1	2	singular	De jongen herkent de persoon voorzichtig.
De jongen herkent	De jongen herkennen	herkent	herkennen	1	2	singular	De jongen herkent de persoon eigenlijk.
De jongen herkent	De jongen herkennen	herkent	herkennen	1	2	singular	De jongen herkent de persoon bewust.
De jongen groet	De jongen groeten	groet	groeten	1	2	singular	De jongen groet de persoon publiekelijk.
De jongen groet	De jongen groeten	groet	groeten	1	2	singular	De jongen groet de persoon openlijk.
De jongen groet	De jongen groeten	groet	groeten	1	2	singular	De jongen groet de persoon waarschijnlijk.
De jongen groet	De jongen groeten	groet	groeten	1	2	singular	De jongen groet de persoon voorzichtig.
De jongen groet	De jongen groeten	groet	groeten	1	2	singular	De jongen groet de persoon eigenlijk.
De jongen groet	De jongen groeten	groet	groeten	1	2	singular	De jongen groet de persoon bewust.
De jongen roept	De jongen roepen	roept	roepen	1	2	singular	De jongen roept de persoon publiekelijk.
De jongen roept	De jongen roepen	roept	roepen	1	2	singular	De jongen roept de persoon openlijk.
De jongen roept	De jongen roepen	roept	roepen	1	2	singular	De jongen roept de persoon waarschijnlijk.
De jongen roept	De jongen roepen	roept	roepen	1	2	singular	De jongen roept de persoon voorzichtig.
De jongen roept	De jongen roepen	roept	roepen	1	2	singular	De jongen roept de persoon eigenlijk.
De jongen roept	De jongen roepen	roept	roepen	1	2	singular	De jongen roept de persoon bewust.
De jongen vertrouwt	De jongen vertrouwen	vertrouwt	vertrouwen	1	2	singular	De jongen vertrouwt de persoon publiekelijk.
De jongen vertrouwt	De jongen vertrouwen	vertrouwt	vertrouwen	1	2	singular	De jongen vertrouwt de persoon openlijk.
De jongen vertrouwt	De jongen vertrouwen	vertrouwt	vertrouwen	1	2	singular	De jongen vertrouwt de persoon waarschijnlijk.
De jongen vertrouwt	De jongen vertrouwen	vertrouwt	vertrouwen	1	2	singular	De jongen vertrouwt de persoon voorzichtig.
De jongen vertrouwt	De jongen vertrouwen	vertrouwt	vertrouwen	1	2	singular	De jongen vertrouwt de persoon eigenlijk.
De jongen vertrouwt	De jongen vertrouwen	vertrouwt	vertrouwen	1	2	singular	De jongen vertrouwt de persoon bewust.
De jongen stimuleert	De jongen stimuleren	stimuleert	stimuleren	1	2	singular	De jongen stimuleert de persoon publiekelijk.
De jongen stimuleert	De jongen stimuleren	stimuleert	stimuleren	1	2	singular	De jongen stimuleert de persoon openlijk.
De jongen stimuleert	De jongen stimuleren	stimuleert	stimuleren	1	2	singular	De jongen stimuleert de persoon waarschijnlijk.
De jongen stimuleert	De jongen stimuleren	stimuleert	stimuleren	1	2	singular	De jongen stimuleert de persoon voorzichtig.
De jongen stimuleert	De jongen stimuleren	stimuleert	stimuleren	1	2	singular	De jongen stimuleert de persoon eigenlijk.
De jongen stimuleert	De jongen stimuleren	stimuleert	stimuleren	1	2	singular	De jongen stimuleert de persoon bewust.
De jongen onderzoekt	De jongen onderzoeken	onderzoekt	onderzoeken	1	2	singular	De jongen onderzoekt de persoon publiekelijk.
