agreement	disagreement	correct_verb	incorrect_verb	subject_index	verb_index	number1	completed
Het paar vrouwen begrijpt	Het paar vrouwen begrijpen	begrijpt	begrijpen	1	3	singular	Het paar vrouwen begrijpt de persoon.
Het paar vrouwen verleidt	Het paar vrouwen verleiden	verleidt	verleiden	1	3	singular	Het paar vrouwen verleidt de persoon.
Het paar vrouwen herkent	Het paar vrouwen herkennen	herkent	herkennen	1	3	singular	Het paar vrouwen herkent de persoon.
Het paar vrouwen vertrouwt	Het paar vrouwen vertrouwen	vertrouwt	vertrouwen	1	3	singular	Het paar vrouwen vertrouwt de persoon.
Het paar vrouwen hoort	Het paar vrouwen horen	hoort	horen	1	3	singular	Het paar vrouwen hoort de persoon.
Het paar vrouwen groet	Het paar vrouwen groeten	groet	groeten	1	3	singular	Het paar vrouwen groet de persoon.
Het paar vrouwen ziet	Het paar vrouwen zien	ziet	zien	1	3	singular	Het paar vrouwen ziet de persoon.
Het paar vrouwen kent	Het paar vrouwen kennen	kent	kennen	1	3	singular	Het paar vrouwen kent de persoon.
Het paar vrouwen bekritiseert	Het paar vrouwen bekritiseren	bekritiseert	bekritiseren	1	3	singular	Het paar vrouwen bekritiseert de persoon.
Het paar vrouwen mist	Het paar vrouwen missen	mist	missen	1	3	singular	Het paar vrouwen mist de persoon.
Het paar vrouwen roept	Het paar vrouwen roepen	roept	roepen	1	3	singular	Het paar vrouwen roept de persoon.
Het paar vrouwen onderzoekt	Het paar vrouwen onderzoeken	onderzoekt	onderzoeken	1	3	singular	Het paar vrouwen onderzoekt de persoon.
Het paar vrouwen vermijdt	Het paar vrouwen vermijden	vermijdt	vermijden	1	3	singular	Het paar vrouwen vermijdt de persoon.
Het paar vrouwen stimuleert	Het paar vrouwen stimuleren	stimuleert	stimuleren	1	3	singular	Het paar vrouwen stimuleert de persoon.
Het paar boeren begrijpt	Het paar boeren begrijpen	begrijpt	begrijpen	1	3	singular	Het paar boeren begrijpt de persoon.
Het paar boeren verleidt	Het paar boeren verleiden	verleidt	verleiden	1	3	singular	Het paar boeren verleidt de persoon.
Het paar boeren herkent	Het paar boeren herkennen	herkent	herkennen	1	3	singular	Het paar boeren herkent de persoon.
Het paar boeren vertrouwt	Het paar boeren vertrouwen	vertrouwt	vertrouwen	1	3	singular	Het paar boeren vertrouwt de persoon.
Het paar boeren hoort	Het paar boeren horen	hoort	horen	1	3	singular	Het paar boeren hoort de persoon.
Het paar boeren groet	Het paar boeren groeten	groet	groeten	1	3	singular	Het paar boeren groet de persoon.
Het paar boeren ziet	Het paar boeren zien	ziet	zien	1	3	singular	Het paar boeren ziet de persoon.
Het paar boeren kent	Het paar boeren kennen	kent	kennen	1	3	singular	Het paar boeren kent de persoon.
Het paar boeren bekritiseert	Het paar boeren bekritiseren	bekritiseert	bekritiseren	1	3	singular	Het paar boeren bekritiseert de persoon.
Het paar boeren mist	Het paar boeren missen	mist	missen	1	3	singular	Het paar boeren mist de persoon.
Het paar boeren roept	Het paar boeren roepen	roept	roepen	1	3	singular	Het paar boeren roept de persoon.
Het paar boeren onderzoekt	Het paar boeren onderzoeken	onderzoekt	onderzoeken	1	3	singular	Het paar boeren onderzoekt de persoon.
Het paar boeren vermijdt	Het paar boeren vermijden	vermijdt	vermijden	1	3	singular	Het paar boeren vermijdt de persoon.
