agreement	disagreement	correct_verb	incorrect_verb	subject_index	verb_index	number1	completed
De leraar die werkt mist	De leraar die werkt missen	mist	missen	1	4	singular	De leraar die werkt mist de persoon.
De leraar die werkt hoort	De leraar die werkt horen	hoort	horen	1	4	singular	De leraar die werkt hoort de persoon.
De leraar die werkt steunt	De leraar die werkt steunen	steunt	steunen	1	4	singular	De leraar die werkt steunt de persoon.
De leraar die werkt ziet	De leraar die werkt zien	ziet	zien	1	4	singular	De leraar die werkt ziet de persoon.
De leraar die werkt vertrouwt	De leraar die werkt vertrouwen	vertrouwt	vertrouwen	1	4	singular	De leraar die werkt vertrouwt de persoon.
De leraar die werkt kent	De leraar die werkt kennen	kent	kennen	1	4	singular	De leraar die werkt kent de persoon.
De leraar die werkt vermijdt	De leraar die werkt vermijden	vermijdt	vermijden	1	4	singular	De leraar die werkt vermijdt de persoon.
De leraar die werkt roept	De leraar die werkt roepen	roept	roepen	1	4	singular	De leraar die werkt roept de persoon.
De leraar die werkt groet	De leraar die werkt groeten	groet	groeten	1	4	singular	De leraar die werkt groet de persoon.
De leraar die werkt onderzoekt	De leraar die werkt onderzoeken	onderzoekt	onderzoeken	1	4	singular	De leraar die werkt onderzoekt de persoon.
De leraar die werkt stimuleert	De leraar die werkt stimuleren	stimuleert	stimuleren	1	4	singular	De leraar die werkt stimuleert de persoon.
De leraar die werkt bekritiseert	De leraar die werkt bekritiseren	bekritiseert	bekritiseren	1	4	singular	De leraar die werkt bekritiseert de persoon.
De leraar die werkt verleidt	De leraar die werkt verleiden	verleidt	verleiden	1	4	singular	De leraar die werkt verleidt de persoon.
De leraar die werkt herkent	De leraar die werkt herkennen	herkent	herkennen	1	4	singular	De leraar die werkt herkent de persoon.
De leraar die werkt begrijpt	De leraar die werkt begrijpen	begrijpt	begrijpen	1	4	singular	De leraar die werkt begrijpt de persoon.
De leraar die praat mist	De leraar die praat missen	mist	missen	1	4	singular	De leraar die praat mist de persoon.
De leraar die praat hoort	De leraar die praat horen	hoort	horen	1	4	singular	De leraar die praat hoort de persoon.
De leraar die praat steunt	De leraar die praat steunen	steunt	steunen	1	4	singular	De leraar die praat steunt de persoon.
De leraar die praat ziet	De leraar die praat zien	ziet	zien	1	4	singular	De leraar die praat ziet de persoon.
De leraar die praat vertrouwt	De leraar die praat vertrouwen	vertrouwt	vertrouwen	1	4	singular	De leraar die praat vertrouwt de persoon.
De leraar die praat kent	De leraar die praat kennen	kent	kennen	1	4	singular	De leraar die praat kent de persoon.
De leraar die praat vermijdt	De leraar die praat vermijden	vermijdt	vermijden	1	4	singular	De leraar die praat vermijdt de persoon.
De leraar die praat roept	De leraar die praat roepen	roept	roepen	1	4	singular	De leraar die praat roept de persoon.
De leraar die praat groet	De leraar die praat groeten	groet	groeten	1	4	singular	De leraar die praat groet de persoon.
De leraar die praat onderzoekt	De leraar die praat onderzoeken	onderzoekt	onderzoeken	1	4	singular	De leraar die praat onderzoekt de persoon.
De leraar die praat stimuleert	De leraar die praat stimuleren	stimuleert	stimuleren	1	4	singular	De leraar die praat stimuleert de persoon.
De leraar die praat bekritiseert	De leraar die praat bekritiseren	bekritiseert	bekritiseren	1	4	singular	De leraar die praat bekritiseert de persoon.
De leraar die praat verleidt	De leraar die praat verleiden	verleidt	verleiden	1	4	singular	De leraar die praat verleidt de persoon.
De leraar die praat herkent	De leraar die praat herkennen	herkent	herkennen	1	4	singular	De leraar die praat herkent de persoon.
De leraar die praat begrijpt	De leraar die praat begrijpen	begrijpt	begrijpen	1	4	singular	De leraar die praat begrijpt de persoon.
De leraar die zit mist	De leraar die zit missen	mist	missen	1	4	singular	De leraar die zit mist de persoon.
De leraar die zit hoort	De leraar die zit horen	hoort	horen	1	4	singular	De leraar die zit hoort de persoon.
De leraar die zit steunt	De leraar die zit steunen	steunt	steunen	1	4	singular	De leraar die zit steunt de persoon.
De leraar die zit ziet	De leraar die zit zien	ziet	zien	1	4	singular	De leraar die zit ziet de persoon.
De leraar die zit vertrouwt	De leraar die zit vertrouwen	vertrouwt	vertrouwen	1	4	singular	De leraar die zit vertrouwt de persoon.
De leraar die zit kent	De leraar die zit kennen	kent	kennen	1	4	singular	De leraar die zit kent de persoon.
De leraar die zit vermijdt	De leraar die zit vermijden	vermijdt	vermijden	1	4	singular	De leraar die zit vermijdt de persoon.
De leraar die zit roept	De leraar die zit roepen	roept	roepen	1	4	singular	De leraar die zit roept de persoon.
De leraar die zit groet	De leraar die zit groeten	groet	groeten	1	4	singular	De leraar die zit groet de persoon.
