agreement	disagreement	correct_verb	incorrect_verb	subject_index	verb_index	number1	number2	completed
De zanger verleidt en de zanger verleidt	De zanger verleidt en de zanger verleiden	verleidt	verleiden	5	6	singular	singular	De zanger verleidt en de zanger verleidt de persoon.
De zanger verleidt en de zanger vermijdt	De zanger verleidt en de zanger vermijden	vermijdt	vermijden	5	6	singular	singular	De zanger verleidt en de zanger vermijdt de persoon.
De zanger verleidt en de zanger bekritiseert	De zanger verleidt en de zanger bekritiseren	bekritiseert	bekritiseren	5	6	singular	singular	De zanger verleidt en de zanger bekritiseert de persoon.
De zanger verleidt en de zanger kent	De zanger verleidt en de zanger kennen	kent	kennen	5	6	singular	singular	De zanger verleidt en de zanger kent de persoon.
De zanger verleidt en de zanger stimuleert	De zanger verleidt en de zanger stimuleren	stimuleert	stimuleren	5	6	singular	singular	De zanger verleidt en de zanger stimuleert de persoon.
De zanger verleidt en de zanger hoort	De zanger verleidt en de zanger horen	hoort	horen	5	6	singular	singular	De zanger verleidt en de zanger hoort de persoon.
De zanger verleidt en de zanger onderzoekt	De zanger verleidt en de zanger onderzoeken	onderzoekt	onderzoeken	5	6	singular	singular	De zanger verleidt en de zanger onderzoekt de persoon.
De zanger verleidt en de zanger roept	De zanger verleidt en de zanger roepen	roept	roepen	5	6	singular	singular	De zanger verleidt en de zanger roept de persoon.
De zanger verleidt en de dichter verleidt	De zanger verleidt en de dichter verleiden	verleidt	verleiden	5	6	singular	singular	De zanger verleidt en de dichter verleidt de persoon.
De zanger verleidt en de dichter vermijdt	De zanger verleidt en de dichter vermijden	vermijdt	vermijden	5	6	singular	singular	De zanger verleidt en de dichter vermijdt de persoon.
De zanger verleidt en de dichter bekritiseert	De zanger verleidt en de dichter bekritiseren	bekritiseert	bekritiseren	5	6	singular	singular	De zanger verleidt en de dichter bekritiseert de persoon.
De zanger verleidt en de dichter kent	De zanger verleidt en de dichter kennen	kent	kennen	5	6	singular	singular	De zanger verleidt en de dichter kent de persoon.
De zanger verleidt en de dichter stimuleert	De zanger verleidt en de dichter stimuleren	stimuleert	stimuleren	5	6	singular	singular	De zanger verleidt en de dichter stimuleert de persoon.
De zanger verleidt en de dichter hoort	De zanger verleidt en de dichter horen	hoort	horen	5	6	singular	singular	De zanger verleidt en de dichter hoort de persoon.
De zanger verleidt en de dichter onderzoekt	De zanger verleidt en de dichter onderzoeken	onderzoekt	onderzoeken	5	6	singular	singular	De zanger verleidt en de dichter onderzoekt de persoon.
De zanger verleidt en de dichter roept	De zanger verleidt en de dichter roepen	roept	roepen	5	6	singular	singular	De zanger verleidt en de dichter roept de persoon.
De zanger verleidt en de oom verleidt	De zanger verleidt en de oom verleiden	verleidt	verleiden	5	6	singular	singular	De zanger verleidt en de oom verleidt de persoon.
De zanger verleidt en de oom vermijdt	De zanger verleidt en de oom vermijden	vermijdt	vermijden	5	6	singular	singular	De zanger verleidt en de oom vermijdt de persoon.
De zanger verleidt en de oom bekritiseert	De zanger verleidt en de oom bekritiseren	bekritiseert	bekritiseren	5	6	singular	singular	De zanger verleidt en de oom bekritiseert de persoon.
De zanger verleidt en de oom kent	De zanger verleidt en de oom kennen	kent	kennen	5	6	singular	singular	De zanger verleidt en de oom kent de persoon.
De zanger verleidt en de oom stimuleert	De zanger verleidt en de oom stimuleren	stimuleert	stimuleren	5	6	singular	singular	De zanger verleidt en de oom stimuleert de persoon.
De zanger verleidt en de oom hoort	De zanger verleidt en de oom horen	hoort	horen	5	6	singular	singular	De zanger verleidt en de oom hoort de persoon.
De zanger verleidt en de oom onderzoekt	De zanger verleidt en de oom onderzoeken	onderzoekt	onderzoeken	5	6	singular	singular	De zanger verleidt en de oom onderzoekt de persoon.
De zanger verleidt en de oom roept	De zanger verleidt en de oom roepen	roept	roepen	5	6	singular	singular	De zanger verleidt en de oom roept de persoon.
De zanger verleidt en de meid verleidt	De zanger verleidt en de meid verleiden	verleidt	verleiden	5	6	singular	singular	De zanger verleidt en de meid verleidt de persoon.
De zanger verleidt en de meid vermijdt	De zanger verleidt en de meid vermijden	vermijdt	vermijden	5	6	singular	singular	De zanger verleidt en de meid vermijdt de persoon.
De zanger verleidt en de meid bekritiseert	De zanger verleidt en de meid bekritiseren	bekritiseert	bekritiseren	5	6	singular	singular	De zanger verleidt en de meid bekritiseert de persoon.
De zanger verleidt en de meid kent	De zanger verleidt en de meid kennen	kent	kennen	5	6	singular	singular	De zanger verleidt en de meid kent de persoon.
