agreement	disagreement	correct_verb	incorrect_verb	subject_index	verb_index	number1	number2	number3	completed
De persoon gelooft dat de winnaar naast de boom publiekelijk de persoon begrijpt	De persoon gelooft dat de winnaar naast de boom publiekelijk de persoon begrijpen	begrijpt	begrijpen	5	12	singular	singular	singular	De persoon gelooft dat de winnaar naast de boom publiekelijk de persoon begrijpt.
De persoon gelooft dat de winnaar naast de boom publiekelijk de persoon onderzoekt	De persoon gelooft dat de winnaar naast de boom publiekelijk de persoon onderzoeken	onderzoekt	onderzoeken	5	12	singular	singular	singular	De persoon gelooft dat de winnaar naast de boom publiekelijk de persoon onderzoekt.
De persoon gelooft dat de winnaar naast de boom publiekelijk de persoon ziet	De persoon gelooft dat de winnaar naast de boom publiekelijk de persoon zien	ziet	zien	5	12	singular	singular	singular	De persoon gelooft dat de winnaar naast de boom publiekelijk de persoon ziet.
De persoon gelooft dat de winnaar naast de boom publiekelijk de persoon bekritiseert	De persoon gelooft dat de winnaar naast de boom publiekelijk de persoon bekritiseren	bekritiseert	bekritiseren	5	12	singular	singular	singular	De persoon gelooft dat de winnaar naast de boom publiekelijk de persoon bekritiseert.
De persoon gelooft dat de winnaar naast de boom publiekelijk de persoon groet	De persoon gelooft dat de winnaar naast de boom publiekelijk de persoon groeten	groet	groeten	5	12	singular	singular	singular	De persoon gelooft dat de winnaar naast de boom publiekelijk de persoon groet.
De persoon gelooft dat de winnaar naast de boom publiekelijk de persoon vertrouwt	De persoon gelooft dat de winnaar naast de boom publiekelijk de persoon vertrouwen	vertrouwt	vertrouwen	5	12	singular	singular	singular	De persoon gelooft dat de winnaar naast de boom publiekelijk de persoon vertrouwt.
De persoon gelooft dat de winnaar naast de boom publiekelijk de persoon herkent	De persoon gelooft dat de winnaar naast de boom publiekelijk de persoon herkennen	herkent	herkennen	5	12	singular	singular	singular	De persoon gelooft dat de winnaar naast de boom publiekelijk de persoon herkent.
De persoon gelooft dat de winnaar naast de boom publiekelijk de persoon hoort	De persoon gelooft dat de winnaar naast de boom publiekelijk de persoon horen	hoort	horen	5	12	singular	singular	singular	De persoon gelooft dat de winnaar naast de boom publiekelijk de persoon hoort.
De persoon gelooft dat de winnaar naast de boom publiekelijk de persoon verleidt	De persoon gelooft dat de winnaar naast de boom publiekelijk de persoon verleiden	verleidt	verleiden	5	12	singular	singular	singular	De persoon gelooft dat de winnaar naast de boom publiekelijk de persoon verleidt.
De persoon gelooft dat de winnaar naast de boom publiekelijk de persoon stimuleert	De persoon gelooft dat de winnaar naast de boom publiekelijk de persoon stimuleren	stimuleert	stimuleren	5	12	singular	singular	singular	De persoon gelooft dat de winnaar naast de boom publiekelijk de persoon stimuleert.
De persoon gelooft dat de winnaar naast de boom publiekelijk de persoon kent	De persoon gelooft dat de winnaar naast de boom publiekelijk de persoon kennen	kent	kennen	5	12	singular	singular	singular	De persoon gelooft dat de winnaar naast de boom publiekelijk de persoon kent.
De persoon gelooft dat de winnaar naast de boom publiekelijk de persoon roept	De persoon gelooft dat de winnaar naast de boom publiekelijk de persoon roepen	roept	roepen	5	12	singular	singular	singular	De persoon gelooft dat de winnaar naast de boom publiekelijk de persoon roept.
De persoon gelooft dat de winnaar naast de boom publiekelijk de persoon mist	De persoon gelooft dat de winnaar naast de boom publiekelijk de persoon missen	mist	missen	5	12	singular	singular	singular	De persoon gelooft dat de winnaar naast de boom publiekelijk de persoon mist.
De persoon gelooft dat de winnaar naast de boom publiekelijk de persoon vermijdt	De persoon gelooft dat de winnaar naast de boom publiekelijk de persoon vermijden	vermijdt	vermijden	5	12	singular	singular	singular	De persoon gelooft dat de winnaar naast de boom publiekelijk de persoon vermijdt.
De persoon gelooft dat de winnaar naast de boom publiekelijk de persoon steunt	De persoon gelooft dat de winnaar naast de boom publiekelijk de persoon steunen	steunt	steunen	5	12	singular	singular	singular	De persoon gelooft dat de winnaar naast de boom publiekelijk de persoon steunt.
De persoon gelooft dat de winnaar naast de boom publiekelijk de leider begrijpt	De persoon gelooft dat de winnaar naast de boom publiekelijk de leider begrijpen	begrijpt	begrijpen	5	12	singular	singular	singular	De persoon gelooft dat de winnaar naast de boom publiekelijk de leider begrijpt.
De persoon gelooft dat de winnaar naast de boom publiekelijk de leider onderzoekt	De persoon gelooft dat de winnaar naast de boom publiekelijk de leider onderzoeken	onderzoekt	onderzoeken	5	12	singular	singular	singular	De persoon gelooft dat de winnaar naast de boom publiekelijk de leider onderzoekt.
De persoon gelooft dat de winnaar naast de boom publiekelijk de leider ziet	De persoon gelooft dat de winnaar naast de boom publiekelijk de leider zien	ziet	zien	5	12	singular	singular	singular	De persoon gelooft dat de winnaar naast de boom publiekelijk de leider ziet.
De persoon gelooft dat de winnaar naast de boom publiekelijk de leider bekritiseert	De persoon gelooft dat de winnaar naast de boom publiekelijk de leider bekritiseren	bekritiseert	bekritiseren	5	12	singular	singular	singular	De persoon gelooft dat de winnaar naast de boom publiekelijk de leider bekritiseert.
De persoon gelooft dat de winnaar naast de boom publiekelijk de leider groet	De persoon gelooft dat de winnaar naast de boom publiekelijk de leider groeten	groet	groeten	5	12	singular	singular	singular	De persoon gelooft dat de winnaar naast de boom publiekelijk de leider groet.
De persoon gelooft dat de winnaar naast de boom publiekelijk de leider vertrouwt	De persoon gelooft dat de winnaar naast de boom publiekelijk de leider vertrouwen	vertrouwt	vertrouwen	5	12	singular	singular	singular	De persoon gelooft dat de winnaar naast de boom publiekelijk de leider vertrouwt.
De persoon gelooft dat de winnaar naast de boom publiekelijk de leider herkent	De persoon gelooft dat de winnaar naast de boom publiekelijk de leider herkennen	herkent	herkennen	5	12	singular	singular	singular	De persoon gelooft dat de winnaar naast de boom publiekelijk de leider herkent.
