agreement	disagreement	correct_verb	incorrect_verb	subject_index	verb_index	number1	number2	completed
De directeur denkt dat de persoon loopt	De directeur denkt dat de persoon lopen	loopt	lopen	5	6	singular	singular	De directeur denkt dat de persoon loopt.
De directeur denkt dat de persoon werkt	De directeur denkt dat de persoon werken	werkt	werken	5	6	singular	singular	De directeur denkt dat de persoon werkt.
De directeur denkt dat de persoon praat	De directeur denkt dat de persoon praten	praat	praten	5	6	singular	singular	De directeur denkt dat de persoon praat.
De directeur denkt dat de persoon zit	De directeur denkt dat de persoon zitten	zit	zitten	5	6	singular	singular	De directeur denkt dat de persoon zit.
De directeur denkt dat de persoon lacht	De directeur denkt dat de persoon lachen	lacht	lachen	5	6	singular	singular	De directeur denkt dat de persoon lacht.
De directeur denkt dat de persoon groeit	De directeur denkt dat de persoon groeien	groeit	groeien	5	6	singular	singular	De directeur denkt dat de persoon groeit.
De directeur denkt dat de persoon komt	De directeur denkt dat de persoon komen	komt	komen	5	6	singular	singular	De directeur denkt dat de persoon komt.
De directeur denkt dat de schrijver loopt	De directeur denkt dat de schrijver lopen	loopt	lopen	5	6	singular	singular	De directeur denkt dat de schrijver loopt.
De directeur denkt dat de schrijver werkt	De directeur denkt dat de schrijver werken	werkt	werken	5	6	singular	singular	De directeur denkt dat de schrijver werkt.
De directeur denkt dat de schrijver praat	De directeur denkt dat de schrijver praten	praat	praten	5	6	singular	singular	De directeur denkt dat de schrijver praat.
De directeur denkt dat de schrijver zit	De directeur denkt dat de schrijver zitten	zit	zitten	5	6	singular	singular	De directeur denkt dat de schrijver zit.
De directeur denkt dat de schrijver lacht	De directeur denkt dat de schrijver lachen	lacht	lachen	5	6	singular	singular	De directeur denkt dat de schrijver lacht.
De directeur denkt dat de schrijver groeit	De directeur denkt dat de schrijver groeien	groeit	groeien	5	6	singular	singular	De directeur denkt dat de schrijver groeit.
De directeur denkt dat de schrijver komt	De directeur denkt dat de schrijver komen	komt	komen	5	6	singular	singular	De directeur denkt dat de schrijver komt.
De directeur denkt dat de atleet loopt	De directeur denkt dat de atleet lopen	loopt	lopen	5	6	singular	singular	De directeur denkt dat de atleet loopt.
De directeur denkt dat de atleet werkt	De directeur denkt dat de atleet werken	werkt	werken	5	6	singular	singular	De directeur denkt dat de atleet werkt.
De directeur denkt dat de atleet praat	De directeur denkt dat de atleet praten	praat	praten	5	6	singular	singular	De directeur denkt dat de atleet praat.
De directeur denkt dat de atleet zit	De directeur denkt dat de atleet zitten	zit	zitten	5	6	singular	singular	De directeur denkt dat de atleet zit.
De directeur denkt dat de atleet lacht	De directeur denkt dat de atleet lachen	lacht	lachen	5	6	singular	singular	De directeur denkt dat de atleet lacht.
De directeur denkt dat de atleet groeit	De directeur denkt dat de atleet groeien	groeit	groeien	5	6	singular	singular	De directeur denkt dat de atleet groeit.
De directeur denkt dat de atleet komt	De directeur denkt dat de atleet komen	komt	komen	5	6	singular	singular	De directeur denkt dat de atleet komt.
De directeur denkt dat de dokter loopt	De directeur denkt dat de dokter lopen	loopt	lopen	5	6	singular	singular	De directeur denkt dat de dokter loopt.
De directeur denkt dat de dokter werkt	De directeur denkt dat de dokter werken	werkt	werken	5	6	singular	singular	De directeur denkt dat de dokter werkt.
De directeur denkt dat de dokter praat	De directeur denkt dat de dokter praten	praat	praten	5	6	singular	singular	De directeur denkt dat de dokter praat.
De directeur denkt dat de dokter zit	De directeur denkt dat de dokter zitten	zit	zitten	5	6	singular	singular	De directeur denkt dat de dokter zit.
De directeur denkt dat de dokter lacht	De directeur denkt dat de dokter lachen	lacht	lachen	5	6	singular	singular	De directeur denkt dat de dokter lacht.
De directeur denkt dat de dokter groeit	De directeur denkt dat de dokter groeien	groeit	groeien	5	6	singular	singular	De directeur denkt dat de dokter groeit.
De directeur denkt dat de dokter komt	De directeur denkt dat de dokter komen	komt	komen	5	6	singular	singular	De directeur denkt dat de dokter komt.
De directeur denkt dat de man loopt	De directeur denkt dat de man lopen	loopt	lopen	5	6	singular	singular	De directeur denkt dat de man loopt.
De directeur denkt dat de man werkt	De directeur denkt dat de man werken	werkt	werken	5	6	singular	singular	De directeur denkt dat de man werkt.
De directeur denkt dat de man praat	De directeur denkt dat de man praten	praat	praten	5	6	singular	singular	De directeur denkt dat de man praat.
De directeur denkt dat de man zit	De directeur denkt dat de man zitten	zit	zitten	5	6	singular	singular	De directeur denkt dat de man zit.
De directeur denkt dat de man lacht	De directeur denkt dat de man lachen	lacht	lachen	5	6	singular	singular	De directeur denkt dat de man lacht.
De directeur denkt dat de man groeit	De directeur denkt dat de man groeien	groeit	groeien	5	6	singular	singular	De directeur denkt dat de man groeit.
De directeur denkt dat de man komt	De directeur denkt dat de man komen	komt	komen	5	6	singular	singular	De directeur denkt dat de man komt.
De directeur denkt dat de vriend loopt	De directeur denkt dat de vriend lopen	loopt	lopen	5	6	singular	singular	De directeur denkt dat de vriend loopt.
De directeur denkt dat de vriend werkt	De directeur denkt dat de vriend werken	werkt	werken	5	6	singular	singular	De directeur denkt dat de vriend werkt.
De directeur denkt dat de vriend praat	De directeur denkt dat de vriend praten	praat	praten	5	6	singular	singular	De directeur denkt dat de vriend praat.
De directeur denkt dat de vriend zit	De directeur denkt dat de vriend zitten	zit	zitten	5	6	singular	singular	De directeur denkt dat de vriend zit.
De directeur denkt dat de vriend lacht	De directeur denkt dat de vriend lachen	lacht	lachen	5	6	singular	singular	De directeur denkt dat de vriend lacht.
De directeur denkt dat de vriend groeit	De directeur denkt dat de vriend groeien	groeit	groeien	5	6	singular	singular	De directeur denkt dat de vriend groeit.
De directeur denkt dat de vriend komt	De directeur denkt dat de vriend komen	komt	komen	5	6	singular	singular	De directeur denkt dat de vriend komt.
De directeur denkt dat de inwoner loopt	De directeur denkt dat de inwoner lopen	loopt	lopen	5	6	singular	singular	De directeur denkt dat de inwoner loopt.
De directeur denkt dat de inwoner werkt	De directeur denkt dat de inwoner werken	werkt	werken	5	6	singular	singular	De directeur denkt dat de inwoner werkt.
De directeur denkt dat de inwoner praat	De directeur denkt dat de inwoner praten	praat	praten	5	6	singular	singular	De directeur denkt dat de inwoner praat.
De directeur denkt dat de inwoner zit	De directeur denkt dat de inwoner zitten	zit	zitten	5	6	singular	singular	De directeur denkt dat de inwoner zit.
De directeur denkt dat de inwoner lacht	De directeur denkt dat de inwoner lachen	lacht	lachen	5	6	singular	singular	De directeur denkt dat de inwoner lacht.
De directeur denkt dat de inwoner groeit	De directeur denkt dat de inwoner groeien	groeit	groeien	5	6	singular	singular	De directeur denkt dat de inwoner groeit.
De directeur denkt dat de inwoner komt	De directeur denkt dat de inwoner komen	komt	komen	5	6	singular	singular	De directeur denkt dat de inwoner komt.
De directeur denkt dat de jongen loopt	De directeur denkt dat de jongen lopen	loopt	lopen	5	6	singular	singular	De directeur denkt dat de jongen loopt.
De directeur denkt dat de jongen werkt	De directeur denkt dat de jongen werken	werkt	werken	5	6	singular	singular	De directeur denkt dat de jongen werkt.
De directeur denkt dat de jongen praat	De directeur denkt dat de jongen praten	praat	praten	5	6	singular	singular	De directeur denkt dat de jongen praat.
De directeur denkt dat de jongen zit	De directeur denkt dat de jongen zitten	zit	zitten	5	6	singular	singular	De directeur denkt dat de jongen zit.
De directeur denkt dat de jongen lacht	De directeur denkt dat de jongen lachen	lacht	lachen	5	6	singular	singular	De directeur denkt dat de jongen lacht.
De directeur denkt dat de jongen groeit	De directeur denkt dat de jongen groeien	groeit	groeien	5	6	singular	singular	De directeur denkt dat de jongen groeit.
De directeur denkt dat de jongen komt	De directeur denkt dat de jongen komen	komt	komen	5	6	singular	singular	De directeur denkt dat de jongen komt.
De directeur denkt dat de moeder loopt	De directeur denkt dat de moeder lopen	loopt	lopen	5	6	singular	singular	De directeur denkt dat de moeder loopt.
