agreement	disagreement	correct_verb	incorrect_verb	subject_index	verb_index	number1	completed
De dichter vermijdt	De dichter vermijden	vermijdt	vermijden	1	2	singular	De dichter vermijdt de persoon publiekelijk.
De oom groet	De oom groeten	groet	groeten	1	2	singular	De oom groet de persoon openlijk.
De inwoner roept	De inwoner roepen	roept	roepen	1	2	singular	De inwoner roept de persoon bewust.
De meid stimuleert	De meid stimuleren	stimuleert	stimuleren	1	2	singular	De meid stimuleert de persoon eigenlijk.
De jongen bekritiseert	De jongen bekritiseren	bekritiseert	bekritiseren	1	2	singular	De jongen bekritiseert de persoon voorzichtig.
De schrijver verleidt	De schrijver verleiden	verleidt	verleiden	1	2	singular	De schrijver verleidt de persoon openlijk.
De oom mist	De oom missen	mist	missen	1	2	singular	De oom mist de persoon bewust.
De jongen begrijpt	De jongen begrijpen	begrijpt	begrijpen	1	2	singular	De jongen begrijpt de persoon publiekelijk.
De persoon groet	De persoon groeten	groet	groeten	1	2	singular	De persoon groet de persoon eigenlijk.
De atleet hoort	De atleet horen	hoort	horen	1	2	singular	De atleet hoort de persoon openlijk.
De vriend stimuleert	De vriend stimuleren	stimuleert	stimuleren	1	2	singular	De vriend stimuleert de persoon bewust.
De oom verleidt	De oom verleiden	verleidt	verleiden	1	2	singular	De oom verleidt de persoon publiekelijk.
De dokter herkent	De dokter herkennen	herkent	herkennen	1	2	singular	De dokter herkent de persoon bewust.
De advocaat kent	De advocaat kennen	kent	kennen	1	2	singular	De advocaat kent de persoon waarschijnlijk.
De atleet vermijdt	De atleet vermijden	vermijdt	vermijden	1	2	singular	De atleet vermijdt de persoon voorzichtig.
De moeder kent	De moeder kennen	kent	kennen	1	2	singular	De moeder kent de persoon eigenlijk.
De schrijver stimuleert	De schrijver stimuleren	stimuleert	stimuleren	1	2	singular	De schrijver stimuleert de persoon eigenlijk.
De dokter kent	De dokter kennen	kent	kennen	1	2	singular	De dokter kent de persoon voorzichtig.
De atleet vermijdt	De atleet vermijden	vermijdt	vermijden	1	2	singular	De atleet vermijdt de persoon eigenlijk.
De tante begrijpt	De tante begrijpen	begrijpt	begrijpen	1	2	singular	De tante begrijpt de persoon waarschijnlijk.
De dokter roept	De dokter roepen	roept	roepen	1	2	singular	De dokter roept de persoon openlijk.
De man stimuleert	De man stimuleren	stimuleert	stimuleren	1	2	singular	De man stimuleert de persoon bewust.
De tante herkent	De tante herkennen	herkent	herkennen	1	2	singular	De tante herkent de persoon bewust.
De oom herkent	De oom herkennen	herkent	herkennen	1	2	singular	De oom herkent de persoon openlijk.
De advocaat begrijpt	De advocaat begrijpen	begrijpt	begrijpen	1	2	singular	De advocaat begrijpt de persoon publiekelijk.
De vrouw begrijpt	De vrouw begrijpen	begrijpt	begrijpen	1	2	singular	De vrouw begrijpt de persoon voorzichtig.
De persoon hoort	De persoon horen	hoort	horen	1	2	singular	De persoon hoort de persoon voorzichtig.
De vader begrijpt	De vader begrijpen	begrijpt	begrijpen	1	2	singular	De vader begrijpt de persoon voorzichtig.
De vrouw onderzoekt	De vrouw onderzoeken	onderzoekt	onderzoeken	1	2	singular	De vrouw onderzoekt de persoon bewust.
De oom roept	De oom roepen	roept	roepen	1	2	singular	De oom roept de persoon openlijk.
