agreement	disagreement	correct_verb	incorrect_verb	subject_index	verb_index	number1	number2	completed
De vrouw en de persoon kennen	De vrouw en de persoon kent	kennen	kent	4	5	singular	singular	De vrouw en de persoon kennen de persoon.
De moeder en de inwoner stimuleren	De moeder en de inwoner stimuleert	stimuleren	stimuleert	4	5	singular	singular	De moeder en de inwoner stimuleren de persoon.
De dokter en de oom begrijpen	De dokter en de oom begrijpt	begrijpen	begrijpt	4	5	singular	singular	De dokter en de oom begrijpen de persoon.
De dokter en de leraar onderzoeken	De dokter en de leraar onderzoekt	onderzoeken	onderzoekt	4	5	singular	singular	De dokter en de leraar onderzoeken de persoon.
De dichter en de vrouw zien	De dichter en de vrouw ziet	zien	ziet	4	5	singular	singular	De dichter en de vrouw zien de persoon.
De dichter en de jongen kennen	De dichter en de jongen kent	kennen	kent	4	5	singular	singular	De dichter en de jongen kennen de persoon.
De advocaat en de oom vertrouwen	De advocaat en de oom vertrouwt	vertrouwen	vertrouwt	4	5	singular	singular	De advocaat en de oom vertrouwen de persoon.
De meid en de inwoner verleiden	De meid en de inwoner verleidt	verleiden	verleidt	4	5	singular	singular	De meid en de inwoner verleiden de persoon.
De vader en de schrijver missen	De vader en de schrijver mist	missen	mist	4	5	singular	singular	De vader en de schrijver missen de persoon.
De meid en de vrouw zien	De meid en de vrouw ziet	zien	ziet	4	5	singular	singular	De meid en de vrouw zien de persoon.
De vader en de winnaar vertrouwen	De vader en de winnaar vertrouwt	vertrouwen	vertrouwt	4	5	singular	singular	De vader en de winnaar vertrouwen de persoon.
De winnaar en de dokter zien	De winnaar en de dokter ziet	zien	ziet	4	5	singular	singular	De winnaar en de dokter zien de persoon.
De leraar en de inwoner zien	De leraar en de inwoner ziet	zien	ziet	4	5	singular	singular	De leraar en de inwoner zien de persoon.
De vrouw en de moeder begrijpen	De vrouw en de moeder begrijpt	begrijpen	begrijpt	4	5	singular	singular	De vrouw en de moeder begrijpen de persoon.
De man en de boer begrijpen	De man en de boer begrijpt	begrijpen	begrijpt	4	5	singular	singular	De man en de boer begrijpen de persoon.
De atleet en de oom horen	De atleet en de oom hoort	horen	hoort	4	5	singular	singular	De atleet en de oom horen de persoon.
De vrouw en de atleet roepen	De vrouw en de atleet roept	roepen	roept	4	5	singular	singular	De vrouw en de atleet roepen de persoon.
De advocaat en de jongen vermijden	De advocaat en de jongen vermijdt	vermijden	vermijdt	4	5	singular	singular	De advocaat en de jongen vermijden de persoon.
De leraar en de advocaat horen	De leraar en de advocaat hoort	horen	hoort	4	5	singular	singular	De leraar en de advocaat horen de persoon.
De moeder en de zanger missen	De moeder en de zanger mist	missen	mist	4	5	singular	singular	De moeder en de zanger missen de persoon.
De schrijver en de inwoner verleiden	De schrijver en de inwoner verleidt	verleiden	verleidt	4	5	singular	singular	De schrijver en de inwoner verleiden de persoon.
De man en de vrouw steunen	De man en de vrouw steunt	steunen	steunt	4	5	singular	singular	De man en de vrouw steunen de persoon.
