agreement	disagreement	correct_verb	incorrect_verb	subject_index	verb_index	number1	completed
Het aantal jongens naast Linda mist	Het aantal jongens naast Linda missen	mist	missen	1	5	singular	Het aantal jongens naast Linda mist de persoon.
De hoeveelheid ooms onder Pat groet	De hoeveelheid ooms onder Pat groeten	groet	groeten	1	5	singular	De hoeveelheid ooms onder Pat groet de persoon.
De hoeveelheid timmermannen achter Linda onderzoekt	De hoeveelheid timmermannen achter Linda onderzoeken	onderzoekt	onderzoeken	1	5	singular	De hoeveelheid timmermannen achter Linda onderzoekt de persoon.
De groep boeren op Bill hoort	De groep boeren op Bill horen	hoort	horen	1	5	singular	De groep boeren op Bill hoort de persoon.
Het stel mannen naast Jim onderzoekt	Het stel mannen naast Jim onderzoeken	onderzoekt	onderzoeken	1	5	singular	Het stel mannen naast Jim onderzoekt de persoon.
De hoeveelheid moeders bij Bob groet	De hoeveelheid moeders bij Bob groeten	groet	groeten	1	5	singular	De hoeveelheid moeders bij Bob groet de persoon.
De groep vaders achter Barbara onderzoekt	De groep vaders achter Barbara onderzoeken	onderzoekt	onderzoeken	1	5	singular	De groep vaders achter Barbara onderzoekt de persoon.
De hoeveelheid boeren op Bob mist	De hoeveelheid boeren op Bob missen	mist	missen	1	5	singular	De hoeveelheid boeren op Bob mist de persoon.
Het aantal tantes bij John herkent	Het aantal tantes bij John herkennen	herkent	herkennen	1	5	singular	Het aantal tantes bij John herkent de persoon.
Het paar jongens bij Barbara bekritiseert	Het paar jongens bij Barbara bekritiseren	bekritiseert	bekritiseren	1	5	singular	Het paar jongens bij Barbara bekritiseert de persoon.
De hoeveelheid ooms naast Bob ziet	De hoeveelheid ooms naast Bob zien	ziet	zien	1	5	singular	De hoeveelheid ooms naast Bob ziet de persoon.
Het paar vrouwen naast Bob bekritiseert	Het paar vrouwen naast Bob bekritiseren	bekritiseert	bekritiseren	1	5	singular	Het paar vrouwen naast Bob bekritiseert de persoon.
Het stel tantes bij Pat hoort	Het stel tantes bij Pat horen	hoort	horen	1	5	singular	Het stel tantes bij Pat hoort de persoon.
Het paar vrouwen op Bill bekritiseert	Het paar vrouwen op Bill bekritiseren	bekritiseert	bekritiseren	1	5	singular	Het paar vrouwen op Bill bekritiseert de persoon.
De groep vrienden naast Bill herkent	De groep vrienden naast Bill herkennen	herkent	herkennen	1	5	singular	De groep vrienden naast Bill herkent de persoon.
De groep ooms op Linda vertrouwt	De groep ooms op Linda vertrouwen	vertrouwt	vertrouwen	1	5	singular	De groep ooms op Linda vertrouwt de persoon.
Het stel zangers naast Mike vertrouwt	Het stel zangers naast Mike vertrouwen	vertrouwt	vertrouwen	1	5	singular	Het stel zangers naast Mike vertrouwt de persoon.
Het stel zangers op John groet	Het stel zangers op John groeten	groet	groeten	1	5	singular	Het stel zangers op John groet de persoon.
De hoeveelheid doktoren onder Barbara bekritiseert	De hoeveelheid doktoren onder Barbara bekritiseren	bekritiseert	bekritiseren	1	5	singular	De hoeveelheid doktoren onder Barbara bekritiseert de persoon.
Het paar ooms onder Mary mist	Het paar ooms onder Mary missen	mist	missen	1	5	singular	Het paar ooms onder Mary mist de persoon.
De groep tantes achter Barbara mist	De groep tantes achter Barbara missen	mist	missen	1	5	singular	De groep tantes achter Barbara mist de persoon.
De groep jongens naast Bob herkent	De groep jongens naast Bob herkennen	herkent	herkennen	1	5	singular	De groep jongens naast Bob herkent de persoon.
De groep zangers onder Sue begrijpt	De groep zangers onder Sue begrijpen	begrijpt	begrijpen	1	5	singular	De groep zangers onder Sue begrijpt de persoon.
Het paar timmermannen bij Bob ziet	Het paar timmermannen bij Bob zien	ziet	zien	1	5	singular	Het paar timmermannen bij Bob ziet de persoon.
Het paar jongens naast Mike onderzoekt	Het paar jongens naast Mike onderzoeken	onderzoekt	onderzoeken	1	5	singular	Het paar jongens naast Mike onderzoekt de persoon.
Het paar dichters naast Pat mist	Het paar dichters naast Pat missen	mist	missen	1	5	singular	Het paar dichters naast Pat mist de persoon.
De hoeveelheid timmermannen achter Sue vertrouwt	De hoeveelheid timmermannen achter Sue vertrouwen	vertrouwt	vertrouwen	1	5	singular	De hoeveelheid timmermannen achter Sue vertrouwt de persoon.
Het stel advocaten achter Mike vertrouwt	Het stel advocaten achter Mike vertrouwen	vertrouwt	vertrouwen	1	5	singular	Het stel advocaten achter Mike vertrouwt de persoon.
Het paar moeders naast John herkent	Het paar moeders naast John herkennen	herkent	herkennen	1	5	singular	Het paar moeders naast John herkent de persoon.
De hoeveelheid mannen op Sue hoort	De hoeveelheid mannen op Sue horen	hoort	horen	1	5	singular	De hoeveelheid mannen op Sue hoort de persoon.
De groep doktoren bij Linda bekritiseert	De groep doktoren bij Linda bekritiseren	bekritiseert	bekritiseren	1	5	singular	De groep doktoren bij Linda bekritiseert de persoon.
De hoeveelheid ooms op John vertrouwt	De hoeveelheid ooms op John vertrouwen	vertrouwt	vertrouwen	1	5	singular	De hoeveelheid ooms op John vertrouwt de persoon.
De groep tantes naast Bill herkent	De groep tantes naast Bill herkennen	herkent	herkennen	1	5	singular	De groep tantes naast Bill herkent de persoon.
De hoeveelheid moeders bij Pat vertrouwt	De hoeveelheid moeders bij Pat vertrouwen	vertrouwt	vertrouwen	1	5	singular	De hoeveelheid moeders bij Pat vertrouwt de persoon.
