agreement	disagreement	correct_verb	incorrect_verb	subject_index	verb_index	number1	number2	completed
De groep advocaten naast het bureau verleidt	De groep advocaten naast het bureau verleiden	verleidt	verleiden	1	6	singular	singular	De groep advocaten naast het bureau verleidt de persoon.
De hoeveelheid moeders naast de vrachtwagen roept	De hoeveelheid moeders naast de vrachtwagen roepen	roept	roepen	1	6	singular	singular	De hoeveelheid moeders naast de vrachtwagen roept de persoon.
De groep vaders op de vrachtwagen stimuleert	De groep vaders op de vrachtwagen stimuleren	stimuleert	stimuleren	1	6	singular	singular	De groep vaders op de vrachtwagen stimuleert de persoon.
Het aantal dichters naast het bureau roept	Het aantal dichters naast het bureau roepen	roept	roepen	1	6	singular	singular	Het aantal dichters naast het bureau roept de persoon.
Het aantal tantes onder het raam stimuleert	Het aantal tantes onder het raam stimuleren	stimuleert	stimuleren	1	6	singular	singular	Het aantal tantes onder het raam stimuleert de persoon.
Het paar vaders op de tafel vertrouwt	Het paar vaders op de tafel vertrouwen	vertrouwt	vertrouwen	1	6	singular	singular	Het paar vaders op de tafel vertrouwt de persoon.
De groep dichters bij de tafel ziet	De groep dichters bij de tafel zien	ziet	zien	1	6	singular	singular	De groep dichters bij de tafel ziet de persoon.
Het paar vrouwen bij het raam bekritiseert	Het paar vrouwen bij het raam bekritiseren	bekritiseert	bekritiseren	1	6	singular	singular	Het paar vrouwen bij het raam bekritiseert de persoon.
De groep moeders bij de boom bekritiseert	De groep moeders bij de boom bekritiseren	bekritiseert	bekritiseren	1	6	singular	singular	De groep moeders bij de boom bekritiseert de persoon.
De groep doktoren naast de vrachtwagen onderzoekt	De groep doktoren naast de vrachtwagen onderzoeken	onderzoekt	onderzoeken	1	6	singular	singular	De groep doktoren naast de vrachtwagen onderzoekt de persoon.
Het paar jongens onder het raam kent	Het paar jongens onder het raam kennen	kent	kennen	1	6	singular	singular	Het paar jongens onder het raam kent de persoon.
Het aantal jongens op het raam vermijdt	Het aantal jongens op het raam vermijden	vermijdt	vermijden	1	6	singular	singular	Het aantal jongens op het raam vermijdt de persoon.
De hoeveelheid meiden onder de stoel hoort	De hoeveelheid meiden onder de stoel horen	hoort	horen	1	6	singular	singular	De hoeveelheid meiden onder de stoel hoort de persoon.
De hoeveelheid dichters onder het bureau herkent	De hoeveelheid dichters onder het bureau herkennen	herkent	herkennen	1	6	singular	singular	De hoeveelheid dichters onder het bureau herkent de persoon.
Het stel vrienden achter de boom verleidt	Het stel vrienden achter de boom verleiden	verleidt	verleiden	1	6	singular	singular	Het stel vrienden achter de boom verleidt de persoon.
De hoeveelheid zangers achter de tafel roept	De hoeveelheid zangers achter de tafel roepen	roept	roepen	1	6	singular	singular	De hoeveelheid zangers achter de tafel roept de persoon.
De hoeveelheid advocaten onder de boom groet	De hoeveelheid advocaten onder de boom groeten	groet	groeten	1	6	singular	singular	De hoeveelheid advocaten onder de boom groet de persoon.
Het aantal moeders naast de tafel ziet	Het aantal moeders naast de tafel zien	ziet	zien	1	6	singular	singular	Het aantal moeders naast de tafel ziet de persoon.
De hoeveelheid tantes op de vrachtwagen ziet	De hoeveelheid tantes op de vrachtwagen zien	ziet	zien	1	6	singular	singular	De hoeveelheid tantes op de vrachtwagen ziet de persoon.
Het aantal advocaten onder de boom steunt	Het aantal advocaten onder de boom steunen	steunt	steunen	1	6	singular	singular	Het aantal advocaten onder de boom steunt de persoon.
De hoeveelheid doktoren achter de stoel stimuleert	De hoeveelheid doktoren achter de stoel stimuleren	stimuleert	stimuleren	1	6	singular	singular	De hoeveelheid doktoren achter de stoel stimuleert de persoon.
Het paar moeders naast het raam kent	Het paar moeders naast het raam kennen	kent	kennen	1	6	singular	singular	Het paar moeders naast het raam kent de persoon.
De groep boeren bij de boom kent	De groep boeren bij de boom kennen	kent	kennen	1	6	singular	singular	De groep boeren bij de boom kent de persoon.
Het aantal vrienden naast het raam kent	Het aantal vrienden naast het raam kennen	kent	kennen	1	6	singular	singular	Het aantal vrienden naast het raam kent de persoon.
Het paar ooms bij de fiets steunt	Het paar ooms bij de fiets steunen	steunt	steunen	1	6	singular	singular	Het paar ooms bij de fiets steunt de persoon.
De groep mannen achter de tafel stimuleert	De groep mannen achter de tafel stimuleren	stimuleert	stimuleren	1	6	singular	singular	De groep mannen achter de tafel stimuleert de persoon.
Het aantal leraren onder de fiets roept	Het aantal leraren onder de fiets roepen	roept	roepen	1	6	singular	singular	Het aantal leraren onder de fiets roept de persoon.
Het stel boeren op de vrachtwagen onderzoekt	Het stel boeren op de vrachtwagen onderzoeken	onderzoekt	onderzoeken	1	6	singular	singular	Het stel boeren op de vrachtwagen onderzoekt de persoon.
Het paar leraren naast de boom ziet	Het paar leraren naast de boom zien	ziet	zien	1	6	singular	singular	Het paar leraren naast de boom ziet de persoon.
De groep zangers bij de fiets kent	De groep zangers bij de fiets kennen	kent	kennen	1	6	singular	singular	De groep zangers bij de fiets kent de persoon.
De groep jongens achter het raam onderzoekt	De groep jongens achter het raam onderzoeken	onderzoekt	onderzoeken	1	6	singular	singular	De groep jongens achter het raam onderzoekt de persoon.
De groep boeren onder de vrachtwagen herkent	De groep boeren onder de vrachtwagen herkennen	herkent	herkennen	1	6	singular	singular	De groep boeren onder de vrachtwagen herkent de persoon.
De groep advocaten naast de fiets herkent	De groep advocaten naast de fiets herkennen	herkent	herkennen	1	6	singular	singular	De groep advocaten naast de fiets herkent de persoon.
Het paar dichters op het raam groet	Het paar dichters op het raam groeten	groet	groeten	1	6	singular	singular	Het paar dichters op het raam groet de persoon.
Het aantal ooms onder het bureau begrijpt	Het aantal ooms onder het bureau begrijpen	begrijpt	begrijpen	1	6	singular	singular	Het aantal ooms onder het bureau begrijpt de persoon.
De groep ooms bij de fiets stimuleert	De groep ooms bij de fiets stimuleren	stimuleert	stimuleren	1	6	singular	singular	De groep ooms bij de fiets stimuleert de persoon.
De groep boeren achter de tafel hoort	De groep boeren achter de tafel horen	hoort	horen	1	6	singular	singular	De groep boeren achter de tafel hoort de persoon.
Het stel boeren op het bureau mist	Het stel boeren op het bureau missen	mist	missen	1	6	singular	singular	Het stel boeren op het bureau mist de persoon.
De groep moeders naast de fiets stimuleert	De groep moeders naast de fiets stimuleren	stimuleert	stimuleren	1	6	singular	singular	De groep moeders naast de fiets stimuleert de persoon.
De hoeveelheid ooms op de stoel mist	De hoeveelheid ooms op de stoel missen	mist	missen	1	6	singular	singular	De hoeveelheid ooms op de stoel mist de persoon.
Het aantal mannen naast de boom mist	Het aantal mannen naast de boom missen	mist	missen	1	6	singular	singular	Het aantal mannen naast de boom mist de persoon.
Het paar jongens naast de tafel bekritiseert	Het paar jongens naast de tafel bekritiseren	bekritiseert	bekritiseren	1	6	singular	singular	Het paar jongens naast de tafel bekritiseert de persoon.
Het paar ooms bij de fiets mist	Het paar ooms bij de fiets missen	mist	missen	1	6	singular	singular	Het paar ooms bij de fiets mist de persoon.
De groep moeders bij de tafel stimuleert	De groep moeders bij de tafel stimuleren	stimuleert	stimuleren	1	6	singular	singular	De groep moeders bij de tafel stimuleert de persoon.
Het paar timmermannen achter de boom hoort	Het paar timmermannen achter de boom horen	hoort	horen	1	6	singular	singular	Het paar timmermannen achter de boom hoort de persoon.
Het paar ooms naast de tafel vermijdt	Het paar ooms naast de tafel vermijden	vermijdt	vermijden	1	6	singular	singular	Het paar ooms naast de tafel vermijdt de persoon.
De groep boeren op de tafel roept	De groep boeren op de tafel roepen	roept	roepen	1	6	singular	singular	De groep boeren op de tafel roept de persoon.
De groep vrienden naast de tafel kent	De groep vrienden naast de tafel kennen	kent	kennen	1	6	singular	singular	De groep vrienden naast de tafel kent de persoon.
Het stel vrouwen op de boom verleidt	Het stel vrouwen op de boom verleiden	verleidt	verleiden	1	6	singular	singular	Het stel vrouwen op de boom verleidt de persoon.
De hoeveelheid dichters bij het raam hoort	De hoeveelheid dichters bij het raam horen	hoort	horen	1	6	singular	singular	De hoeveelheid dichters bij het raam hoort de persoon.
Het paar jongens naast de stoel stimuleert	Het paar jongens naast de stoel stimuleren	stimuleert	stimuleren	1	6	singular	singular	Het paar jongens naast de stoel stimuleert de persoon.
Het aantal moeders bij de vrachtwagen ziet	Het aantal moeders bij de vrachtwagen zien	ziet	zien	1	6	singular	singular	Het aantal moeders bij de vrachtwagen ziet de persoon.
Het aantal jongens naast de fiets bekritiseert	Het aantal jongens naast de fiets bekritiseren	bekritiseert	bekritiseren	1	6	singular	singular	Het aantal jongens naast de fiets bekritiseert de persoon.
Het aantal doktoren bij de vrachtwagen begrijpt	Het aantal doktoren bij de vrachtwagen begrijpen	begrijpt	begrijpen	1	6	singular	singular	Het aantal doktoren bij de vrachtwagen begrijpt de persoon.
Het paar jongens onder de stoel ziet	Het paar jongens onder de stoel zien	ziet	zien	1	6	singular	singular	Het paar jongens onder de stoel ziet de persoon.
De groep boeren onder de fiets roept	De groep boeren onder de fiets roepen	roept	roepen	1	6	singular	singular	De groep boeren onder de fiets roept de persoon.
De groep vrienden naast de stoel vermijdt	De groep vrienden naast de stoel vermijden	vermijdt	vermijden	1	6	singular	singular	De groep vrienden naast de stoel vermijdt de persoon.
Het stel tantes achter de vrachtwagen stimuleert	Het stel tantes achter de vrachtwagen stimuleren	stimuleert	stimuleren	1	6	singular	singular	Het stel tantes achter de vrachtwagen stimuleert de persoon.
De hoeveelheid zangers onder de fiets kent	De hoeveelheid zangers onder de fiets kennen	kent	kennen	1	6	singular	singular	De hoeveelheid zangers onder de fiets kent de persoon.
De hoeveelheid moeders op de boom verleidt	De hoeveelheid moeders op de boom verleiden	verleidt	verleiden	1	6	singular	singular	De hoeveelheid moeders op de boom verleidt de persoon.
Het aantal moeders naast het bureau vermijdt	Het aantal moeders naast het bureau vermijden	vermijdt	vermijden	1	6	singular	singular	Het aantal moeders naast het bureau vermijdt de persoon.
De hoeveelheid ooms naast de stoel kent	De hoeveelheid ooms naast de stoel kennen	kent	kennen	1	6	singular	singular	De hoeveelheid ooms naast de stoel kent de persoon.
Het aantal zangers onder de boom verleidt	Het aantal zangers onder de boom verleiden	verleidt	verleiden	1	6	singular	singular	Het aantal zangers onder de boom verleidt de persoon.
Het stel moeders bij de boom vermijdt	Het stel moeders bij de boom vermijden	vermijdt	vermijden	1	6	singular	singular	Het stel moeders bij de boom vermijdt de persoon.
De groep vaders op het raam vermijdt	De groep vaders op het raam vermijden	vermijdt	vermijden	1	6	singular	singular	De groep vaders op het raam vermijdt de persoon.
De hoeveelheid zangers op de fiets roept	De hoeveelheid zangers op de fiets roepen	roept	roepen	1	6	singular	singular	De hoeveelheid zangers op de fiets roept de persoon.
De hoeveelheid doktoren achter de tafel groet	De hoeveelheid doktoren achter de tafel groeten	groet	groeten	1	6	singular	singular	De hoeveelheid doktoren achter de tafel groet de persoon.
De hoeveelheid doktoren achter de stoel hoort	De hoeveelheid doktoren achter de stoel horen	hoort	horen	1	6	singular	singular	De hoeveelheid doktoren achter de stoel hoort de persoon.
De hoeveelheid ooms onder de tafel begrijpt	De hoeveelheid ooms onder de tafel begrijpen	begrijpt	begrijpen	1	6	singular	singular	De hoeveelheid ooms onder de tafel begrijpt de persoon.
De groep doktoren bij de fiets stimuleert	De groep doktoren bij de fiets stimuleren	stimuleert	stimuleren	1	6	singular	singular	De groep doktoren bij de fiets stimuleert de persoon.
Het stel dichters achter de fiets steunt	Het stel dichters achter de fiets steunen	steunt	steunen	1	6	singular	singular	Het stel dichters achter de fiets steunt de persoon.
De groep moeders bij de boom verleidt	De groep moeders bij de boom verleiden	verleidt	verleiden	1	6	singular	singular	De groep moeders bij de boom verleidt de persoon.
Het stel leraren onder de boom mist	Het stel leraren onder de boom missen	mist	missen	1	6	singular	singular	Het stel leraren onder de boom mist de persoon.
De hoeveelheid ooms bij het bureau hoort	De hoeveelheid ooms bij het bureau horen	hoort	horen	1	6	singular	singular	De hoeveelheid ooms bij het bureau hoort de persoon.
Het aantal vrouwen op het raam roept	Het aantal vrouwen op het raam roepen	roept	roepen	1	6	singular	singular	Het aantal vrouwen op het raam roept de persoon.
De groep boeren naast het raam onderzoekt	De groep boeren naast het raam onderzoeken	onderzoekt	onderzoeken	1	6	singular	singular	De groep boeren naast het raam onderzoekt de persoon.
Het aantal zangers achter de tafel groet	Het aantal zangers achter de tafel groeten	groet	groeten	1	6	singular	singular	Het aantal zangers achter de tafel groet de persoon.
Het paar dichters bij de stoel begrijpt	Het paar dichters bij de stoel begrijpen	begrijpt	begrijpen	1	6	singular	singular	Het paar dichters bij de stoel begrijpt de persoon.
Het paar moeders op de vrachtwagen begrijpt	Het paar moeders op de vrachtwagen begrijpen	begrijpt	begrijpen	1	6	singular	singular	Het paar moeders op de vrachtwagen begrijpt de persoon.
De hoeveelheid leraren achter de vrachtwagen onderzoekt	De hoeveelheid leraren achter de vrachtwagen onderzoeken	onderzoekt	onderzoeken	1	6	singular	singular	De hoeveelheid leraren achter de vrachtwagen onderzoekt de persoon.
De hoeveelheid tantes achter de boom ziet	De hoeveelheid tantes achter de boom zien	ziet	zien	1	6	singular	singular	De hoeveelheid tantes achter de boom ziet de persoon.
De groep jongens op de tafel vertrouwt	De groep jongens op de tafel vertrouwen	vertrouwt	vertrouwen	1	6	singular	singular	De groep jongens op de tafel vertrouwt de persoon.
Het paar advocaten bij het raam steunt	Het paar advocaten bij het raam steunen	steunt	steunen	1	6	singular	singular	Het paar advocaten bij het raam steunt de persoon.
Het paar boeren naast de tafel vertrouwt	Het paar boeren naast de tafel vertrouwen	vertrouwt	vertrouwen	1	6	singular	singular	Het paar boeren naast de tafel vertrouwt de persoon.
De groep tantes onder de fiets vertrouwt	De groep tantes onder de fiets vertrouwen	vertrouwt	vertrouwen	1	6	singular	singular	De groep tantes onder de fiets vertrouwt de persoon.
De hoeveelheid vaders op de vrachtwagen stimuleert	De hoeveelheid vaders op de vrachtwagen stimuleren	stimuleert	stimuleren	1	6	singular	singular	De hoeveelheid vaders op de vrachtwagen stimuleert de persoon.
