agreement	disagreement	correct_verb	incorrect_verb	subject_index	verb_index	number1	completed
De advocaat , die komt , steunt	De advocaat , die komt , steunen	steunt	steunen	1	6	singular	De advocaat , die komt , steunt de persoon.
De advocaat , die loopt , roept	De advocaat , die loopt , roepen	roept	roepen	1	6	singular	De advocaat , die loopt , roept de persoon.
De vriend , die groeit , bekritiseert	De vriend , die groeit , bekritiseren	bekritiseert	bekritiseren	1	6	singular	De vriend , die groeit , bekritiseert de persoon.
De tante , die praat , herkent	De tante , die praat , herkennen	herkent	herkennen	1	6	singular	De tante , die praat , herkent de persoon.
De atleet , die praat , onderzoekt	De atleet , die praat , onderzoeken	onderzoekt	onderzoeken	1	6	singular	De atleet , die praat , onderzoekt de persoon.
De dichter , die werkt , vertrouwt	De dichter , die werkt , vertrouwen	vertrouwt	vertrouwen	1	6	singular	De dichter , die werkt , vertrouwt de persoon.
De persoon , die komt , kent	De persoon , die komt , kennen	kent	kennen	1	6	singular	De persoon , die komt , kent de persoon.
De dichter , die loopt , bekritiseert	De dichter , die loopt , bekritiseren	bekritiseert	bekritiseren	1	6	singular	De dichter , die loopt , bekritiseert de persoon.
De oom , die praat , steunt	De oom , die praat , steunen	steunt	steunen	1	6	singular	De oom , die praat , steunt de persoon.
De vader , die groeit , bekritiseert	De vader , die groeit , bekritiseren	bekritiseert	bekritiseren	1	6	singular	De vader , die groeit , bekritiseert de persoon.
De atleet , die zit , vertrouwt	De atleet , die zit , vertrouwen	vertrouwt	vertrouwen	1	6	singular	De atleet , die zit , vertrouwt de persoon.
De vriend , die lacht , vertrouwt	De vriend , die lacht , vertrouwen	vertrouwt	vertrouwen	1	6	singular	De vriend , die lacht , vertrouwt de persoon.
De jongen , die loopt , herkent	De jongen , die loopt , herkennen	herkent	herkennen	1	6	singular	De jongen , die loopt , herkent de persoon.
De dokter , die loopt , vermijdt	De dokter , die loopt , vermijden	vermijdt	vermijden	1	6	singular	De dokter , die loopt , vermijdt de persoon.
De advocaat , die praat , bekritiseert	De advocaat , die praat , bekritiseren	bekritiseert	bekritiseren	1	6	singular	De advocaat , die praat , bekritiseert de persoon.
De leraar , die groeit , ziet	De leraar , die groeit , zien	ziet	zien	1	6	singular	De leraar , die groeit , ziet de persoon.
De oom , die loopt , stimuleert	De oom , die loopt , stimuleren	stimuleert	stimuleren	1	6	singular	De oom , die loopt , stimuleert de persoon.
De dokter , die zit , roept	De dokter , die zit , roepen	roept	roepen	1	6	singular	De dokter , die zit , roept de persoon.
De leraar , die komt , hoort	De leraar , die komt , horen	hoort	horen	1	6	singular	De leraar , die komt , hoort de persoon.
De vader , die praat , hoort	De vader , die praat , horen	hoort	horen	1	6	singular	De vader , die praat , hoort de persoon.
De vriend , die werkt , vermijdt	De vriend , die werkt , vermijden	vermijdt	vermijden	1	6	singular	De vriend , die werkt , vermijdt de persoon.
De schrijver , die praat , hoort	De schrijver , die praat , horen	hoort	horen	1	6	singular	De schrijver , die praat , hoort de persoon.
De boer , die lacht , hoort	De boer , die lacht , horen	hoort	horen	1	6	singular	De boer , die lacht , hoort de persoon.
De advocaat , die groeit , stimuleert	De advocaat , die groeit , stimuleren	stimuleert	stimuleren	1	6	singular	De advocaat , die groeit , stimuleert de persoon.
De dokter , die werkt , stimuleert	De dokter , die werkt , stimuleren	stimuleert	stimuleren	1	6	singular	De dokter , die werkt , stimuleert de persoon.
De tante , die loopt , ziet	De tante , die loopt , zien	ziet	zien	1	6	singular	De tante , die loopt , ziet de persoon.
De vader , die lacht , vermijdt	De vader , die lacht , vermijden	vermijdt	vermijden	1	6	singular	De vader , die lacht , vermijdt de persoon.
De jongen , die zit , begrijpt	De jongen , die zit , begrijpen	begrijpt	begrijpen	1	6	singular	De jongen , die zit , begrijpt de persoon.
De atleet , die komt , vertrouwt	De atleet , die komt , vertrouwen	vertrouwt	vertrouwen	1	6	singular	De atleet , die komt , vertrouwt de persoon.
De dichter , die lacht , vertrouwt	De dichter , die lacht , vertrouwen	vertrouwt	vertrouwen	1	6	singular	De dichter , die lacht , vertrouwt de persoon.
De tante , die komt , vermijdt	De tante , die komt , vermijden	vermijdt	vermijden	1	6	singular	De tante , die komt , vermijdt de persoon.
De tante , die komt , groet	De tante , die komt , groeten	groet	groeten	1	6	singular	De tante , die komt , groet de persoon.
De persoon , die loopt , vermijdt	De persoon , die loopt , vermijden	vermijdt	vermijden	1	6	singular	De persoon , die loopt , vermijdt de persoon.
De advocaat , die groeit , roept	De advocaat , die groeit , roepen	roept	roepen	1	6	singular	De advocaat , die groeit , roept de persoon.
De vriend , die zit , ziet	De vriend , die zit , zien	ziet	zien	1	6	singular	De vriend , die zit , ziet de persoon.
De inwoner , die groeit , ziet	De inwoner , die groeit , zien	ziet	zien	1	6	singular	De inwoner , die groeit , ziet de persoon.
De boer , die lacht , steunt	De boer , die lacht , steunen	steunt	steunen	1	6	singular	De boer , die lacht , steunt de persoon.
