agreement	disagreement	correct_verb	incorrect_verb	subject_index	verb_index	number1	number2	completed
De zanger onderzoekt en de schrijver vermijdt	De zanger onderzoekt en de schrijver vermijden	vermijdt	vermijden	5	6	singular	singular	De zanger onderzoekt en de schrijver vermijdt de persoon.
De moeder bekritiseert en de schrijver vermijdt	De moeder bekritiseert en de schrijver vermijden	vermijdt	vermijden	5	6	singular	singular	De moeder bekritiseert en de schrijver vermijdt de persoon.
De oom bekritiseert en de zanger vermijdt	De oom bekritiseert en de zanger vermijden	vermijdt	vermijden	5	6	singular	singular	De oom bekritiseert en de zanger vermijdt de persoon.
De dokter verleidt en de zanger onderzoekt	De dokter verleidt en de zanger onderzoeken	onderzoekt	onderzoeken	5	6	singular	singular	De dokter verleidt en de zanger onderzoekt de persoon.
De schrijver vermijdt en de zanger stimuleert	De schrijver vermijdt en de zanger stimuleren	stimuleert	stimuleren	5	6	singular	singular	De schrijver vermijdt en de zanger stimuleert de persoon.
De meid vermijdt en de meid hoort	De meid vermijdt en de meid horen	hoort	horen	5	6	singular	singular	De meid vermijdt en de meid hoort de persoon.
De zanger vermijdt en de meid vermijdt	De zanger vermijdt en de meid vermijden	vermijdt	vermijden	5	6	singular	singular	De zanger vermijdt en de meid vermijdt de persoon.
De dokter kent en de meid onderzoekt	De dokter kent en de meid onderzoeken	onderzoekt	onderzoeken	5	6	singular	singular	De dokter kent en de meid onderzoekt de persoon.
De oom kent en de persoon kent	De oom kent en de persoon kennen	kent	kennen	5	6	singular	singular	De oom kent en de persoon kent de persoon.
De oom onderzoekt en de zanger onderzoekt	De oom onderzoekt en de zanger onderzoeken	onderzoekt	onderzoeken	5	6	singular	singular	De oom onderzoekt en de zanger onderzoekt de persoon.
De zanger stimuleert en de persoon roept	De zanger stimuleert en de persoon roepen	roept	roepen	5	6	singular	singular	De zanger stimuleert en de persoon roept de persoon.
De zanger stimuleert en de dichter onderzoekt	De zanger stimuleert en de dichter onderzoeken	onderzoekt	onderzoeken	5	6	singular	singular	De zanger stimuleert en de dichter onderzoekt de persoon.
De meid bekritiseert en de dokter vermijdt	De meid bekritiseert en de dokter vermijden	vermijdt	vermijden	5	6	singular	singular	De meid bekritiseert en de dokter vermijdt de persoon.
De schrijver vermijdt en de schrijver vermijdt	De schrijver vermijdt en de schrijver vermijden	vermijdt	vermijden	5	6	singular	singular	De schrijver vermijdt en de schrijver vermijdt de persoon.
De oom verleidt en de moeder bekritiseert	De oom verleidt en de moeder bekritiseren	bekritiseert	bekritiseren	5	6	singular	singular	De oom verleidt en de moeder bekritiseert de persoon.
De moeder bekritiseert en de meid roept	De moeder bekritiseert en de meid roepen	roept	roepen	5	6	singular	singular	De moeder bekritiseert en de meid roept de persoon.
De oom hoort en de oom onderzoekt	De oom hoort en de oom onderzoeken	onderzoekt	onderzoeken	5	6	singular	singular	De oom hoort en de oom onderzoekt de persoon.
De dichter bekritiseert en de oom kent	De dichter bekritiseert en de oom kennen	kent	kennen	5	6	singular	singular	De dichter bekritiseert en de oom kent de persoon.
De dokter hoort en de persoon stimuleert	De dokter hoort en de persoon stimuleren	stimuleert	stimuleren	5	6	singular	singular	De dokter hoort en de persoon stimuleert de persoon.
De meid verleidt en de meid verleidt	De meid verleidt en de meid verleiden	verleidt	verleiden	5	6	singular	singular	De meid verleidt en de meid verleidt de persoon.
De moeder onderzoekt en de oom onderzoekt	De moeder onderzoekt en de oom onderzoeken	onderzoekt	onderzoeken	5	6	singular	singular	De moeder onderzoekt en de oom onderzoekt de persoon.
De dokter kent en de moeder vermijdt	De dokter kent en de moeder vermijden	vermijdt	vermijden	5	6	singular	singular	De dokter kent en de moeder vermijdt de persoon.
De oom kent en de moeder verleidt	De oom kent en de moeder verleiden	verleidt	verleiden	5	6	singular	singular	De oom kent en de moeder verleidt de persoon.
De zanger verleidt en de dichter hoort	De zanger verleidt en de dichter horen	hoort	horen	5	6	singular	singular	De zanger verleidt en de dichter hoort de persoon.
De zanger roept en de dokter verleidt	De zanger roept en de dokter verleiden	verleidt	verleiden	5	6	singular	singular	De zanger roept en de dokter verleidt de persoon.
De persoon verleidt en de meid stimuleert	De persoon verleidt en de meid stimuleren	stimuleert	stimuleren	5	6	singular	singular	De persoon verleidt en de meid stimuleert de persoon.
De dichter hoort en de moeder verleidt	De dichter hoort en de moeder verleiden	verleidt	verleiden	5	6	singular	singular	De dichter hoort en de moeder verleidt de persoon.
De oom onderzoekt en de dokter roept	De oom onderzoekt en de dokter roepen	roept	roepen	5	6	singular	singular	De oom onderzoekt en de dokter roept de persoon.
De dokter vermijdt en de zanger onderzoekt	De dokter vermijdt en de zanger onderzoeken	onderzoekt	onderzoeken	5	6	singular	singular	De dokter vermijdt en de zanger onderzoekt de persoon.
De dichter hoort en de moeder bekritiseert	De dichter hoort en de moeder bekritiseren	bekritiseert	bekritiseren	5	6	singular	singular	De dichter hoort en de moeder bekritiseert de persoon.
De dichter vermijdt en de dichter roept	De dichter vermijdt en de dichter roepen	roept	roepen	5	6	singular	singular	De dichter vermijdt en de dichter roept de persoon.
De dokter hoort en de meid verleidt	De dokter hoort en de meid verleiden	verleidt	verleiden	5	6	singular	singular	De dokter hoort en de meid verleidt de persoon.
De dichter hoort en de dokter onderzoekt	De dichter hoort en de dokter onderzoeken	onderzoekt	onderzoeken	5	6	singular	singular	De dichter hoort en de dokter onderzoekt de persoon.
De meid hoort en de persoon hoort	De meid hoort en de persoon horen	hoort	horen	5	6	singular	singular	De meid hoort en de persoon hoort de persoon.
De schrijver stimuleert en de moeder kent	De schrijver stimuleert en de moeder kennen	kent	kennen	5	6	singular	singular	De schrijver stimuleert en de moeder kent de persoon.
De dichter vermijdt en de zanger roept	De dichter vermijdt en de zanger roepen	roept	roepen	5	6	singular	singular	De dichter vermijdt en de zanger roept de persoon.
De dichter roept en de persoon vermijdt	De dichter roept en de persoon vermijden	vermijdt	vermijden	5	6	singular	singular	De dichter roept en de persoon vermijdt de persoon.
De oom bekritiseert en de dokter vermijdt	De oom bekritiseert en de dokter vermijden	vermijdt	vermijden	5	6	singular	singular	De oom bekritiseert en de dokter vermijdt de persoon.
De schrijver hoort en de persoon hoort	De schrijver hoort en de persoon horen	hoort	horen	5	6	singular	singular	De schrijver hoort en de persoon hoort de persoon.
