agreement	disagreement	correct_verb	incorrect_verb	subject_index	verb_index	number1	number2	completed
De persoon gelooft dat de dichter openlijk de persoon hoort	De persoon gelooft dat de dichter openlijk de persoon horen	hoort	horen	5	9	singular	singular	De persoon gelooft dat de dichter openlijk de persoon hoort.
De persoon wenst dat de persoon voorzichtig de persoon kent	De persoon wenst dat de persoon voorzichtig de persoon kennen	kent	kennen	5	9	singular	singular	De persoon wenst dat de persoon voorzichtig de persoon kent.
De persoon gelooft dat de meid waarschijnlijk de persoon vertrouwt	De persoon gelooft dat de meid waarschijnlijk de persoon vertrouwen	vertrouwt	vertrouwen	5	9	singular	singular	De persoon gelooft dat de meid waarschijnlijk de persoon vertrouwt.
De persoon denkt dat de dichter voorzichtig de persoon vertrouwt	De persoon denkt dat de dichter voorzichtig de persoon vertrouwen	vertrouwt	vertrouwen	5	9	singular	singular	De persoon denkt dat de dichter voorzichtig de persoon vertrouwt.
De persoon ziet dat de schrijver waarschijnlijk de persoon hoort	De persoon ziet dat de schrijver waarschijnlijk de persoon horen	hoort	horen	5	9	singular	singular	De persoon ziet dat de schrijver waarschijnlijk de persoon hoort.
De persoon wenst dat de dichter eigenlijk de persoon stimuleert	De persoon wenst dat de dichter eigenlijk de persoon stimuleren	stimuleert	stimuleren	5	9	singular	singular	De persoon wenst dat de dichter eigenlijk de persoon stimuleert.
De persoon wil dat de advocaat openlijk de persoon hoort	De persoon wil dat de advocaat openlijk de persoon horen	hoort	horen	5	9	singular	singular	De persoon wil dat de advocaat openlijk de persoon hoort.
De persoon gelooft dat de zanger eigenlijk de persoon verleidt	De persoon gelooft dat de zanger eigenlijk de persoon verleiden	verleidt	verleiden	5	9	singular	singular	De persoon gelooft dat de zanger eigenlijk de persoon verleidt.
De persoon wenst dat de jongen openlijk de persoon kent	De persoon wenst dat de jongen openlijk de persoon kennen	kent	kennen	5	9	singular	singular	De persoon wenst dat de jongen openlijk de persoon kent.
De persoon wenst dat de persoon eigenlijk de persoon hoort	De persoon wenst dat de persoon eigenlijk de persoon horen	hoort	horen	5	9	singular	singular	De persoon wenst dat de persoon eigenlijk de persoon hoort.
De persoon ziet dat de man voorzichtig de persoon groet	De persoon ziet dat de man voorzichtig de persoon groeten	groet	groeten	5	9	singular	singular	De persoon ziet dat de man voorzichtig de persoon groet.
De persoon denkt dat de dokter bewust de persoon ziet	De persoon denkt dat de dokter bewust de persoon zien	ziet	zien	5	9	singular	singular	De persoon denkt dat de dokter bewust de persoon ziet.
De persoon ziet dat de leraar voorzichtig de persoon herkent	De persoon ziet dat de leraar voorzichtig de persoon herkennen	herkent	herkennen	5	9	singular	singular	De persoon ziet dat de leraar voorzichtig de persoon herkent.
De persoon wil dat de dichter openlijk de persoon bekritiseert	De persoon wil dat de dichter openlijk de persoon bekritiseren	bekritiseert	bekritiseren	5	9	singular	singular	De persoon wil dat de dichter openlijk de persoon bekritiseert.
De persoon ziet dat de schrijver voorzichtig de persoon mist	De persoon ziet dat de schrijver voorzichtig de persoon missen	mist	missen	5	9	singular	singular	De persoon ziet dat de schrijver voorzichtig de persoon mist.
