agreement	disagreement	correct_verb	incorrect_verb	subject_index	verb_index	number1	number2	completed
De leider ziet dat de oom de persoon herkent	De leider ziet dat de oom de persoon herkennen	herkent	herkennen	5	8	singular	singular	De leider ziet dat de oom de persoon herkent.
De persoon ziet dat de persoon de persoon mist	De persoon ziet dat de persoon de persoon missen	mist	missen	5	8	singular	singular	De persoon ziet dat de persoon de persoon mist.
De persoon ziet dat de inwoner de persoon begrijpt	De persoon ziet dat de inwoner de persoon begrijpen	begrijpt	begrijpen	5	8	singular	singular	De persoon ziet dat de inwoner de persoon begrijpt.
De leider wenst dat de man de persoon begrijpt	De leider wenst dat de man de persoon begrijpen	begrijpt	begrijpen	5	8	singular	singular	De leider wenst dat de man de persoon begrijpt.
De werkgever wenst dat de vader de persoon onderzoekt	De werkgever wenst dat de vader de persoon onderzoeken	onderzoekt	onderzoeken	5	8	singular	singular	De werkgever wenst dat de vader de persoon onderzoekt.
De werkgever gelooft dat de vader de persoon vermijdt	De werkgever gelooft dat de vader de persoon vermijden	vermijdt	vermijden	5	8	singular	singular	De werkgever gelooft dat de vader de persoon vermijdt.
De werkgever ziet dat de man de persoon groet	De werkgever ziet dat de man de persoon groeten	groet	groeten	5	8	singular	singular	De werkgever ziet dat de man de persoon groet.
De werkgever ziet dat de persoon de persoon herkent	De werkgever ziet dat de persoon de persoon herkennen	herkent	herkennen	5	8	singular	singular	De werkgever ziet dat de persoon de persoon herkent.
De persoon ziet dat de dokter de persoon stimuleert	De persoon ziet dat de dokter de persoon stimuleren	stimuleert	stimuleren	5	8	singular	singular	De persoon ziet dat de dokter de persoon stimuleert.
De persoon wil dat de zanger de persoon ziet	De persoon wil dat de zanger de persoon zien	ziet	zien	5	8	singular	singular	De persoon wil dat de zanger de persoon ziet.
De automobilist gelooft dat de persoon de persoon begrijpt	De automobilist gelooft dat de persoon de persoon begrijpen	begrijpt	begrijpen	5	8	singular	singular	De automobilist gelooft dat de persoon de persoon begrijpt.
De persoon wil dat de inwoner de persoon vermijdt	De persoon wil dat de inwoner de persoon vermijden	vermijdt	vermijden	5	8	singular	singular	De persoon wil dat de inwoner de persoon vermijdt.
De directeur gelooft dat de advocaat de persoon herkent	De directeur gelooft dat de advocaat de persoon herkennen	herkent	herkennen	5	8	singular	singular	De directeur gelooft dat de advocaat de persoon herkent.
De werkgever gelooft dat de vader de persoon bekritiseert	De werkgever gelooft dat de vader de persoon bekritiseren	bekritiseert	bekritiseren	5	8	singular	singular	De werkgever gelooft dat de vader de persoon bekritiseert.
De directeur wenst dat de man de persoon vermijdt	De directeur wenst dat de man de persoon vermijden	vermijdt	vermijden	5	8	singular	singular	De directeur wenst dat de man de persoon vermijdt.
De leider wenst dat de dokter de persoon stimuleert	De leider wenst dat de dokter de persoon stimuleren	stimuleert	stimuleren	5	8	singular	singular	De leider wenst dat de dokter de persoon stimuleert.
De werkgever ziet dat de advocaat de persoon herkent	De werkgever ziet dat de advocaat de persoon herkennen	herkent	herkennen	5	8	singular	singular	De werkgever ziet dat de advocaat de persoon herkent.
De automobilist ziet dat de inwoner de persoon onderzoekt	De automobilist ziet dat de inwoner de persoon onderzoeken	onderzoekt	onderzoeken	5	8	singular	singular	De automobilist ziet dat de inwoner de persoon onderzoekt.
