agreement	disagreement	correct_verb	incorrect_verb	subject_index	verb_index	number1	number2	number3	completed
De werkgever wil dat de winnaar op de vrachtwagen de persoon kent	De werkgever wil dat de winnaar op de vrachtwagen de persoon kennen	kent	kennen	5	11	singular	singular	singular	De werkgever wil dat de winnaar op de vrachtwagen de persoon kent.
De werkgever denkt dat de inwoner op de fiets de persoon steunt	De werkgever denkt dat de inwoner op de fiets de persoon steunen	steunt	steunen	5	11	singular	singular	singular	De werkgever denkt dat de inwoner op de fiets de persoon steunt.
De automobilist gelooft dat de man bij het raam de persoon stimuleert	De automobilist gelooft dat de man bij het raam de persoon stimuleren	stimuleert	stimuleren	5	11	singular	singular	singular	De automobilist gelooft dat de man bij het raam de persoon stimuleert.
De persoon denkt dat de schrijver bij de tafel de persoon roept	De persoon denkt dat de schrijver bij de tafel de persoon roepen	roept	roepen	5	11	singular	singular	singular	De persoon denkt dat de schrijver bij de tafel de persoon roept.
De automobilist ziet dat de meid achter de tafel de persoon roept	De automobilist ziet dat de meid achter de tafel de persoon roepen	roept	roepen	5	11	singular	singular	singular	De automobilist ziet dat de meid achter de tafel de persoon roept.
De directeur gelooft dat de meid bij het raam de persoon roept	De directeur gelooft dat de meid bij het raam de persoon roepen	roept	roepen	5	11	singular	singular	singular	De directeur gelooft dat de meid bij het raam de persoon roept.
De automobilist wenst dat de man achter de tafel de persoon onderzoekt	De automobilist wenst dat de man achter de tafel de persoon onderzoeken	onderzoekt	onderzoeken	5	11	singular	singular	singular	De automobilist wenst dat de man achter de tafel de persoon onderzoekt.
De directeur ziet dat de advocaat bij de tafel de persoon verleidt	De directeur ziet dat de advocaat bij de tafel de persoon verleiden	verleidt	verleiden	5	11	singular	singular	singular	De directeur ziet dat de advocaat bij de tafel de persoon verleidt.
De automobilist gelooft dat de man achter het raam de persoon verleidt	De automobilist gelooft dat de man achter het raam de persoon verleiden	verleidt	verleiden	5	11	singular	singular	singular	De automobilist gelooft dat de man achter het raam de persoon verleidt.
De automobilist wil dat de jongen op de tafel de persoon steunt	De automobilist wil dat de jongen op de tafel de persoon steunen	steunt	steunen	5	11	singular	singular	singular	De automobilist wil dat de jongen op de tafel de persoon steunt.
De directeur denkt dat de meid naast het raam de persoon roept	De directeur denkt dat de meid naast het raam de persoon roepen	roept	roepen	5	11	singular	singular	singular	De directeur denkt dat de meid naast het raam de persoon roept.
De directeur denkt dat de winnaar naast het bureau de persoon roept	De directeur denkt dat de winnaar naast het bureau de persoon roepen	roept	roepen	5	11	singular	singular	singular	De directeur denkt dat de winnaar naast het bureau de persoon roept.
De werkgever gelooft dat de schrijver bij de fiets de persoon stimuleert	De werkgever gelooft dat de schrijver bij de fiets de persoon stimuleren	stimuleert	stimuleren	5	11	singular	singular	singular	De werkgever gelooft dat de schrijver bij de fiets de persoon stimuleert.
De persoon wil dat de advocaat naast het raam de persoon stimuleert	De persoon wil dat de advocaat naast het raam de persoon stimuleren	stimuleert	stimuleren	5	11	singular	singular	singular	De persoon wil dat de advocaat naast het raam de persoon stimuleert.
De persoon denkt dat de schrijver achter de vrachtwagen de persoon roept	De persoon denkt dat de schrijver achter de vrachtwagen de persoon roepen	roept	roepen	5	11	singular	singular	singular	De persoon denkt dat de schrijver achter de vrachtwagen de persoon roept.
De werkgever wenst dat de man achter de vrachtwagen de persoon kent	De werkgever wenst dat de man achter de vrachtwagen de persoon kennen	kent	kennen	5	11	singular	singular	singular	De werkgever wenst dat de man achter de vrachtwagen de persoon kent.
De directeur gelooft dat de boer bij de vrachtwagen de persoon bekritiseert	De directeur gelooft dat de boer bij de vrachtwagen de persoon bekritiseren	bekritiseert	bekritiseren	5	11	singular	singular	singular	De directeur gelooft dat de boer bij de vrachtwagen de persoon bekritiseert.
De directeur gelooft dat de meid achter het raam de persoon bekritiseert	De directeur gelooft dat de meid achter het raam de persoon bekritiseren	bekritiseert	bekritiseren	5	11	singular	singular	singular	De directeur gelooft dat de meid achter het raam de persoon bekritiseert.
De directeur wil dat de inwoner bij het raam de persoon steunt	De directeur wil dat de inwoner bij het raam de persoon steunen	steunt	steunen	5	11	singular	singular	singular	De directeur wil dat de inwoner bij het raam de persoon steunt.
De automobilist gelooft dat de jongen achter de boom de persoon stimuleert	De automobilist gelooft dat de jongen achter de boom de persoon stimuleren	stimuleert	stimuleren	5	11	singular	singular	singular	De automobilist gelooft dat de jongen achter de boom de persoon stimuleert.
De persoon wenst dat de schrijver naast de boom de persoon verleidt	De persoon wenst dat de schrijver naast de boom de persoon verleiden	verleidt	verleiden	5	11	singular	singular	singular	De persoon wenst dat de schrijver naast de boom de persoon verleidt.
De persoon ziet dat de meid achter de vrachtwagen de persoon roept	De persoon ziet dat de meid achter de vrachtwagen de persoon roepen	roept	roepen	5	11	singular	singular	singular	De persoon ziet dat de meid achter de vrachtwagen de persoon roept.
De directeur wil dat de schrijver op de fiets de persoon verleidt	De directeur wil dat de schrijver op de fiets de persoon verleiden	verleidt	verleiden	5	11	singular	singular	singular	De directeur wil dat de schrijver op de fiets de persoon verleidt.
De persoon wil dat de man bij het raam de persoon roept	De persoon wil dat de man bij het raam de persoon roepen	roept	roepen	5	11	singular	singular	singular	De persoon wil dat de man bij het raam de persoon roept.
De werkgever wenst dat de man bij de vrachtwagen de persoon stimuleert	De werkgever wenst dat de man bij de vrachtwagen de persoon stimuleren	stimuleert	stimuleren	5	11	singular	singular	singular	De werkgever wenst dat de man bij de vrachtwagen de persoon stimuleert.
De directeur gelooft dat de schrijver naast de stoel de persoon roept	De directeur gelooft dat de schrijver naast de stoel de persoon roepen	roept	roepen	5	11	singular	singular	singular	De directeur gelooft dat de schrijver naast de stoel de persoon roept.
De directeur wenst dat de inwoner achter het raam de persoon steunt	De directeur wenst dat de inwoner achter het raam de persoon steunen	steunt	steunen	5	11	singular	singular	singular	De directeur wenst dat de inwoner achter het raam de persoon steunt.
