agreement	disagreement	correct_verb	incorrect_verb	subject_index	verb_index	number1	number2	completed
De leider wenst dat de atleet groeit	De leider wenst dat de atleet groeien	groeit	groeien	5	6	singular	singular	De leider wenst dat de atleet groeit.
De toeschouwer gelooft dat de oom loopt	De toeschouwer gelooft dat de oom lopen	loopt	lopen	5	6	singular	singular	De toeschouwer gelooft dat de oom loopt.
De leider wenst dat de persoon werkt	De leider wenst dat de persoon werken	werkt	werken	5	6	singular	singular	De leider wenst dat de persoon werkt.
De leider denkt dat de winnaar komt	De leider denkt dat de winnaar komen	komt	komen	5	6	singular	singular	De leider denkt dat de winnaar komt.
De werkgever wil dat de winnaar praat	De werkgever wil dat de winnaar praten	praat	praten	5	6	singular	singular	De werkgever wil dat de winnaar praat.
De automobilist denkt dat de moeder werkt	De automobilist denkt dat de moeder werken	werkt	werken	5	6	singular	singular	De automobilist denkt dat de moeder werkt.
De persoon denkt dat de man zit	De persoon denkt dat de man zitten	zit	zitten	5	6	singular	singular	De persoon denkt dat de man zit.
De toeschouwer wil dat de zanger komt	De toeschouwer wil dat de zanger komen	komt	komen	5	6	singular	singular	De toeschouwer wil dat de zanger komt.
De leider wil dat de inwoner loopt	De leider wil dat de inwoner lopen	loopt	lopen	5	6	singular	singular	De leider wil dat de inwoner loopt.
De persoon wenst dat de boer lacht	De persoon wenst dat de boer lachen	lacht	lachen	5	6	singular	singular	De persoon wenst dat de boer lacht.
De persoon gelooft dat de atleet werkt	De persoon gelooft dat de atleet werken	werkt	werken	5	6	singular	singular	De persoon gelooft dat de atleet werkt.
De toeschouwer wil dat de tante zit	De toeschouwer wil dat de tante zitten	zit	zitten	5	6	singular	singular	De toeschouwer wil dat de tante zit.
De leider gelooft dat de vader groeit	De leider gelooft dat de vader groeien	groeit	groeien	5	6	singular	singular	De leider gelooft dat de vader groeit.
De leider wil dat de dichter komt	De leider wil dat de dichter komen	komt	komen	5	6	singular	singular	De leider wil dat de dichter komt.
De directeur wil dat de oom komt	De directeur wil dat de oom komen	komt	komen	5	6	singular	singular	De directeur wil dat de oom komt.
De toeschouwer wil dat de oom praat	De toeschouwer wil dat de oom praten	praat	praten	5	6	singular	singular	De toeschouwer wil dat de oom praat.
De persoon denkt dat de advocaat loopt	De persoon denkt dat de advocaat lopen	loopt	lopen	5	6	singular	singular	De persoon denkt dat de advocaat loopt.
De werkgever ziet dat de advocaat groeit	De werkgever ziet dat de advocaat groeien	groeit	groeien	5	6	singular	singular	De werkgever ziet dat de advocaat groeit.
