agreement	disagreement	correct_verb	incorrect_verb	subject_index	verb_index	number1	number2	completed
De man en de man verleiden	De man en de man verleidt	verleiden	verleidt	4	5	singular	singular	De man en de man verleiden de persoon.
De man en de man missen	De man en de man mist	missen	mist	4	5	singular	singular	De man en de man missen de persoon.
De man en de man bekritiseren	De man en de man bekritiseert	bekritiseren	bekritiseert	4	5	singular	singular	De man en de man bekritiseren de persoon.
De man en de man steunen	De man en de man steunt	steunen	steunt	4	5	singular	singular	De man en de man steunen de persoon.
De man en de man onderzoeken	De man en de man onderzoekt	onderzoeken	onderzoekt	4	5	singular	singular	De man en de man onderzoeken de persoon.
De man en de man vermijden	De man en de man vermijdt	vermijden	vermijdt	4	5	singular	singular	De man en de man vermijden de persoon.
De man en de man vertrouwen	De man en de man vertrouwt	vertrouwen	vertrouwt	4	5	singular	singular	De man en de man vertrouwen de persoon.
De man en de man horen	De man en de man hoort	horen	hoort	4	5	singular	singular	De man en de man horen de persoon.
De man en de man stimuleren	De man en de man stimuleert	stimuleren	stimuleert	4	5	singular	singular	De man en de man stimuleren de persoon.
De man en de man kennen	De man en de man kent	kennen	kent	4	5	singular	singular	De man en de man kennen de persoon.
De man en de man begrijpen	De man en de man begrijpt	begrijpen	begrijpt	4	5	singular	singular	De man en de man begrijpen de persoon.
De man en de man roepen	De man en de man roept	roepen	roept	4	5	singular	singular	De man en de man roepen de persoon.
De man en de man groeten	De man en de man groet	groeten	groet	4	5	singular	singular	De man en de man groeten de persoon.
De man en de man zien	De man en de man ziet	zien	ziet	4	5	singular	singular	De man en de man zien de persoon.
De man en de man herkennen	De man en de man herkent	herkennen	herkent	4	5	singular	singular	De man en de man herkennen de persoon.
De man en de jongen verleiden	De man en de jongen verleidt	verleiden	verleidt	4	5	singular	singular	De man en de jongen verleiden de persoon.
De man en de jongen missen	De man en de jongen mist	missen	mist	4	5	singular	singular	De man en de jongen missen de persoon.
De man en de jongen bekritiseren	De man en de jongen bekritiseert	bekritiseren	bekritiseert	4	5	singular	singular	De man en de jongen bekritiseren de persoon.
De man en de jongen steunen	De man en de jongen steunt	steunen	steunt	4	5	singular	singular	De man en de jongen steunen de persoon.
De man en de jongen onderzoeken	De man en de jongen onderzoekt	onderzoeken	onderzoekt	4	5	singular	singular	De man en de jongen onderzoeken de persoon.
De man en de jongen vermijden	De man en de jongen vermijdt	vermijden	vermijdt	4	5	singular	singular	De man en de jongen vermijden de persoon.
De man en de jongen vertrouwen	De man en de jongen vertrouwt	vertrouwen	vertrouwt	4	5	singular	singular	De man en de jongen vertrouwen de persoon.
De man en de jongen horen	De man en de jongen hoort	horen	hoort	4	5	singular	singular	De man en de jongen horen de persoon.
De man en de jongen stimuleren	De man en de jongen stimuleert	stimuleren	stimuleert	4	5	singular	singular	De man en de jongen stimuleren de persoon.
De man en de jongen kennen	De man en de jongen kent	kennen	kent	4	5	singular	singular	De man en de jongen kennen de persoon.
De man en de jongen begrijpen	De man en de jongen begrijpt	begrijpen	begrijpt	4	5	singular	singular	De man en de jongen begrijpen de persoon.
De man en de jongen roepen	De man en de jongen roept	roepen	roept	4	5	singular	singular	De man en de jongen roepen de persoon.
De man en de jongen groeten	De man en de jongen groet	groeten	groet	4	5	singular	singular	De man en de jongen groeten de persoon.
De man en de jongen zien	De man en de jongen ziet	zien	ziet	4	5	singular	singular	De man en de jongen zien de persoon.
De man en de jongen herkennen	De man en de jongen herkent	herkennen	herkent	4	5	singular	singular	De man en de jongen herkennen de persoon.
De man en de zanger verleiden	De man en de zanger verleidt	verleiden	verleidt	4	5	singular	singular	De man en de zanger verleiden de persoon.
De man en de zanger missen	De man en de zanger mist	missen	mist	4	5	singular	singular	De man en de zanger missen de persoon.
De man en de zanger bekritiseren	De man en de zanger bekritiseert	bekritiseren	bekritiseert	4	5	singular	singular	De man en de zanger bekritiseren de persoon.
De man en de zanger steunen	De man en de zanger steunt	steunen	steunt	4	5	singular	singular	De man en de zanger steunen de persoon.
De man en de zanger onderzoeken	De man en de zanger onderzoekt	onderzoeken	onderzoekt	4	5	singular	singular	De man en de zanger onderzoeken de persoon.
De man en de zanger vermijden	De man en de zanger vermijdt	vermijden	vermijdt	4	5	singular	singular	De man en de zanger vermijden de persoon.
De man en de zanger vertrouwen	De man en de zanger vertrouwt	vertrouwen	vertrouwt	4	5	singular	singular	De man en de zanger vertrouwen de persoon.
De man en de zanger horen	De man en de zanger hoort	horen	hoort	4	5	singular	singular	De man en de zanger horen de persoon.
De man en de zanger stimuleren	De man en de zanger stimuleert	stimuleren	stimuleert	4	5	singular	singular	De man en de zanger stimuleren de persoon.
De man en de zanger kennen	De man en de zanger kent	kennen	kent	4	5	singular	singular	De man en de zanger kennen de persoon.
De man en de zanger begrijpen	De man en de zanger begrijpt	begrijpen	begrijpt	4	5	singular	singular	De man en de zanger begrijpen de persoon.
De man en de zanger roepen	De man en de zanger roept	roepen	roept	4	5	singular	singular	De man en de zanger roepen de persoon.
De man en de zanger groeten	De man en de zanger groet	groeten	groet	4	5	singular	singular	De man en de zanger groeten de persoon.
De man en de zanger zien	De man en de zanger ziet	zien	ziet	4	5	singular	singular	De man en de zanger zien de persoon.
De man en de zanger herkennen	De man en de zanger herkent	herkennen	herkent	4	5	singular	singular	De man en de zanger herkennen de persoon.
De man en de atleet verleiden	De man en de atleet verleidt	verleiden	verleidt	4	5	singular	singular	De man en de atleet verleiden de persoon.
De man en de atleet missen	De man en de atleet mist	missen	mist	4	5	singular	singular	De man en de atleet missen de persoon.
De man en de atleet bekritiseren	De man en de atleet bekritiseert	bekritiseren	bekritiseert	4	5	singular	singular	De man en de atleet bekritiseren de persoon.
De man en de atleet steunen	De man en de atleet steunt	steunen	steunt	4	5	singular	singular	De man en de atleet steunen de persoon.
De man en de atleet onderzoeken	De man en de atleet onderzoekt	onderzoeken	onderzoekt	4	5	singular	singular	De man en de atleet onderzoeken de persoon.
De man en de atleet vermijden	De man en de atleet vermijdt	vermijden	vermijdt	4	5	singular	singular	De man en de atleet vermijden de persoon.
De man en de atleet vertrouwen	De man en de atleet vertrouwt	vertrouwen	vertrouwt	4	5	singular	singular	De man en de atleet vertrouwen de persoon.
De man en de atleet horen	De man en de atleet hoort	horen	hoort	4	5	singular	singular	De man en de atleet horen de persoon.
