agreement,disagreement,number,subject_index,verb_index,completed
De vrouw van wie de persoon de persoon groet groet,De vrouw van wie de persoon de persoon groet groeten,singular,1,9,De vrouw van wie de persoon de persoon groet groet de persoon.
De vrouw van wie de persoon de persoon groet stimuleert,De vrouw van wie de persoon de persoon groet stimuleren,singular,1,9,De vrouw van wie de persoon de persoon groet stimuleert de persoon.
De vrouw van wie de persoon de persoon groet vermijdt,De vrouw van wie de persoon de persoon groet vermijden,singular,1,9,De vrouw van wie de persoon de persoon groet vermijdt de persoon.
De vrouw van wie de persoon de persoon groet bekritiseert,De vrouw van wie de persoon de persoon groet bekritiseren,singular,1,9,De vrouw van wie de persoon de persoon groet bekritiseert de persoon.
De vrouw van wie de persoon de persoon groet kent,De vrouw van wie de persoon de persoon groet kennen,singular,1,9,De vrouw van wie de persoon de persoon groet kent de persoon.
De vrouw van wie de persoon de persoon groet bemoedigt,De vrouw van wie de persoon de persoon groet bemoedigen,singular,1,9,De vrouw van wie de persoon de persoon groet bemoedigt de persoon.
De vrouw van wie de persoon de persoon groet observeert,De vrouw van wie de persoon de persoon groet observeren,singular,1,9,De vrouw van wie de persoon de persoon groet observeert de persoon.
De vrouw van wie de persoon de persoon groet bewondert,De vrouw van wie de persoon de persoon groet bewonderen,singular,1,9,De vrouw van wie de persoon de persoon groet bewondert de persoon.
De vrouw van wie de persoon de persoon stimuleert groet,De vrouw van wie de persoon de persoon stimuleert groeten,singular,1,9,De vrouw van wie de persoon de persoon stimuleert groet de persoon.
De vrouw van wie de persoon de persoon stimuleert stimuleert,De vrouw van wie de persoon de persoon stimuleert stimuleren,singular,1,9,De vrouw van wie de persoon de persoon stimuleert stimuleert de persoon.
De vrouw van wie de persoon de persoon stimuleert vermijdt,De vrouw van wie de persoon de persoon stimuleert vermijden,singular,1,9,De vrouw van wie de persoon de persoon stimuleert vermijdt de persoon.
De vrouw van wie de persoon de persoon stimuleert bekritiseert,De vrouw van wie de persoon de persoon stimuleert bekritiseren,singular,1,9,De vrouw van wie de persoon de persoon stimuleert bekritiseert de persoon.
De vrouw van wie de persoon de persoon stimuleert kent,De vrouw van wie de persoon de persoon stimuleert kennen,singular,1,9,De vrouw van wie de persoon de persoon stimuleert kent de persoon.
De vrouw van wie de persoon de persoon stimuleert bemoedigt,De vrouw van wie de persoon de persoon stimuleert bemoedigen,singular,1,9,De vrouw van wie de persoon de persoon stimuleert bemoedigt de persoon.
De vrouw van wie de persoon de persoon stimuleert observeert,De vrouw van wie de persoon de persoon stimuleert observeren,singular,1,9,De vrouw van wie de persoon de persoon stimuleert observeert de persoon.
De vrouw van wie de persoon de persoon stimuleert bewondert,De vrouw van wie de persoon de persoon stimuleert bewonderen,singular,1,9,De vrouw van wie de persoon de persoon stimuleert bewondert de persoon.
De vrouw van wie de persoon de persoon vermijdt groet,De vrouw van wie de persoon de persoon vermijdt groeten,singular,1,9,De vrouw van wie de persoon de persoon vermijdt groet de persoon.
