en_plural	en_singular	nl_plural	nl_singular
admire	admires	bewonderen	bewondert
avoid	avoids	vermijden	vermijdt
confuse	confuses	verwarren	verwart
criticize	criticizes	bekritiseren	bekritiseert
discourage	discourages	ontmoedigen	ontmoedigt
encourage	encourages	bemoedigen	bemoedigt
greet	greets	groeten	groet
inspire	inspires	inspireren	inspireert
know	knows	kennen	kent
observe	observes	observeren	observeert
remember	remembers	onthouden	onthoudt
stimulate	stimulates	stimuleren	stimuleert
understand	understands	begrijpen	begrijpt
